title,url,stage,day,time,mbid,lfm_url,orig_name
DJ Faydz,https://www.djfaydz.com/,VILLAGE INN,FRIDAY,17:00 - 18:00,,,https://www.last.fm/music/DJ+Faydz,DJ FAYDZ
DJ Flight,https://djflight.co.uk/,ARCADIA,SUNDAY,21:45 - 22:30,,98b6c6a8-0458-40aa-aa54-1c852d395b26,https://www.last.fm/music/DJ+Flight,DJ FLIGHT
DJ Gaz,,THE ROCKET LOUNGE,SUNDAY,23:00 - 05:00,,,https://www.last.fm/music/DJ+Gaz,DJ GAZ
DJ GREEN MAN,,VILLAGE INN,FRIDAY,18:00 - 19:00,,,https://www.last.fm/music/DJ+GREEN+MAN,DJ GREEN MAN
DJ Guilty Pleasures,https://guiltypleasures.co.uk/,THE RABBIT HOLE,THURSDAY,23:00 - 00:00,,,https://www.last.fm/music/DJ+Guilty+Pleasures,DJ GUILTY PLEASURES
Dj lusinda,https://www.instagram.com/djlusinda/,THE RUM SHACK,SUNDAY,02:00 - 03:00,,,https://www.last.fm/music/Dj+lusinda,DJ LUSINDA
DJ Masda,,THE WOW,FRIDAY,22:00 - 23:30,A deeper exploration of house and techno from this German based DJ.,,https://www.last.fm/music/DJ+Masda,DJ MASDA
Dj MonnE,https://www.mixcloud.com/djmonne/,THE RABBIT HOLE,FRIDAY,14:15 - 15:15,,,https://www.last.fm/music/Dj+MonnE,DJ MONNE
DJ Mossman,,THE RABBIT HOLE,SUNDAY,14:00 - 15:00,,,https://www.last.fm/music/DJ+Mossman,DJ MOSSMAN
Dj Neptizzle,https://www.instagram.com/djneptizzle/,THE RUM SHACK,FRIDAY,02:00 - 03:00,,,https://www.last.fm/music/Dj+Neptizzle,DJ NEPTIZZLE
DJ Paulette,https://djpaulette.co.uk/about/,GREENPEACE,SUNDAY,01:00 - 02:30,,03eda55e-5915-42ab-b4fb-41f86845941d,https://www.last.fm/music/DJ+Paulette,DJ PAULETTE
Dj Polly,,BIMBLE INN,THURSDAY,00:30 - 03:00,,,https://www.last.fm/music/Dj+Polly,DJ POLLY
DJ Priya,https://linktr.ee/deejaypri,TRUTH STAGE,THURSDAY,22:00 - 22:30,,,https://www.last.fm/music/DJ+Priya,DJ PRIYA
DJ Producer,http://www.soundcloud.com/the-dj-producer,THE SALON CAROUSEL,SATURDAY,03:00 - 04:00,,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,https://www.last.fm/music/DJ+Producer,DJ PRODUCER
DJ Q,https://www.instagram.com/djqmusic/   //    https://www.instagram.com/yungsingh35ol,ARCADIA,SUNDAY,22:30 - 23:30,,a022551b-884b-46c4-8e3b-adc32f2fa8cf,https://www.last.fm/music/DJ+Q,DJ Q
Yung Singh,https://www.instagram.com/djqmusic/   //    https://www.instagram.com/yungsingh35ol,ARCADIA,SUNDAY,22:30 - 23:30,,,https://www.last.fm/music/Yung+Singh,YUNG SINGH
DJ Tofu,https://djchristofu.com/about/,GREENPEACE,FRIDAY,11:00 - 12:30,,,https://www.last.fm/music/DJ+Tofu,DJ TOFU
DJ Yoda,,STONEBRIDGE BAR,FRIDAY,15:30 - 17:00,,c266a7ab-7b9f-478f-a26d-91c5f8f04c7c,https://www.last.fm/music/DJ+Yoda,DJ YODA
Dog Daughter,,SMALL WORLD STAGE,SATURDAY,14:45 - 15:45,,,https://www.last.fm/music/Dog+Daughter,DOG DAUGHTER
Doghouse Derelicts,https://www.facebook.com/doghousederelicts,GLADE DOME,SUNDAY,14:50 - 15:50,,,https://www.last.fm/music/Doghouse+Derelicts,DOGHOUSE DERELICTS
Dombrance,https://linktr.ee/dombrance,RABBIT HOLE'S FUNKINGHAM PALACE,THURSDAY,22:30 - 23:45,,0df97888-a243-46c8-9403-b98f0ee04c8c,https://www.last.fm/music/Dombrance,DOMBRANCE
Don Letts,https://www.facebook.com/officialdonletts,GLADE,SATURDAY,18:45 - 19:45,"Influential film director, DJ, writer and musician who was instrumental in the crossover of reggae in the UK in the late 70s.",,https://www.last.fm/music/Don+Letts,DON LETTS
Dope Ammo,https://www.instagram.com/dopeammo/ / https://djhybrid.co.uk/,THE TEMPLE,THURSDAY,00:15 - 01:15,,87bb4c9f-e703-4a47-9583-e70b45fd9d47,https://www.last.fm/music/Dope+Ammo,DOPE AMMO
Jasmine Knight,https://www.instagram.com/dopeammo/ / https://djhybrid.co.uk/,THE TEMPLE,THURSDAY,00:15 - 01:15,,,https://www.last.fm/music/Jasmine+Knight,JASMINE KNIGHT
DJ Hybrid,https://www.instagram.com/dopeammo/ / https://djhybrid.co.uk/,THE TEMPLE,THURSDAY,00:15 - 01:15,,,https://www.last.fm/music/DJ+Hybrid,DJ HYBRID
DOWNSETTERS,https://www.facebook.com/thedownsetters/?locale=en_gb,THE ROCKET LOUNGE,FRIDAY,01:00 - 02:00,,,https://www.last.fm/music/DOWNSETTERS,DOWNSETTERS
Dr Banana,,THE WOW,THURSDAY,22:30 - 00:00,Banana’s UK garage wrestling with Mr Wigflex’s electronic dance sounds.,,https://www.last.fm/music/Dr+Banana,DR BANANA
Lukas Wigflex,,THE WOW,THURSDAY,22:30 - 00:00,Banana’s UK garage wrestling with Mr Wigflex’s electronic dance sounds.,,https://www.last.fm/music/Lukas+Wigflex,LUKAS WIGFLEX
Drag Syndrome,https://www.dragsyndrome.com/,TRUTH STAGE,SUNDAY,02:30 - 03:00,,,https://www.last.fm/music/Drag+Syndrome,DRAG SYNDROME
Dreadzone,https://www.dreadzone.com/,GLADE,SATURDAY,17:40 - 18:45,"Now in their 30th year and well known for making the crowd bounce with their mix of dub, electronica and trip hop.",a10ca116-02af-4989-9a91-fb25585216f7,https://www.last.fm/music/Dreadzone,DREADZONE
Drifty,https://linktr.ee/driftyb4tb,TRUTH STAGE,SATURDAY,23:30 - 00:00,,,https://www.last.fm/music/Drifty,DRIFTY
Dry white bones,https://facebook.com/drywhitebones,CROISSANT NEUF,THURSDAY,20:30 - 21:00,,,https://www.last.fm/music/Dry+white+bones,DRY WHITE BONES
Dréya Mac,https://www.facebook.com/dreyamac/,LEFT FIELD,SATURDAY,21:00 - 22:00,"Loved by Rihanna and Stormzy, the Tik Tok LGBTQ+ sensation and rewired trap beat singer with a mere 65million streams.",,https://www.last.fm/music/Dr%C3%A9ya+Mac,DRÉYA MAC
Dub Boy & Atki2,https://www.instagram.com/tim_dub_boy/ https://www.instagram.com/sam_atki2/,BABYLON UPRISING,THURSDAY,21:00 - 22:00,,881f2c01-d22a-4bfe-8d18-93750bca271c,https://www.last.fm/music/Dub+Boy+&+Atki2,DUB BOY & ATKI2
Dubkasm,https://www.facebook.com/dubkasm,ARCADIA,SUNDAY,20:15 - 21:00,,6200e493-3b28-4af7-a75d-97f0e37d4dbe,https://www.last.fm/music/Dubkasm,DUBKASM
Duncan Disorderly & The Scallywags,,SMALL WORLD STAGE,THURSDAY,12:30 - 01:30,,,https://www.last.fm/music/Duncan+Disorderly+&+The+Scallywags,DUNCAN DISORDERLY & THE SCALLYWAGS
Dungeon Meat,https://ra.co/dj/dungeonmeat,THE MEAT RACK,SATURDAY,03:00 - 06:00,,9c3cdb02-35e9-42b8-81c2-afb6e77add3a,https://www.last.fm/music/Dungeon+Meat,DUNGEON MEAT
Dusty Shoes,https://soundcloud.com/toby2shoes,THE RABBIT HOLE,WEDNESDAY,00:00 - 02:00,,,https://www.last.fm/music/Dusty+Shoes,DUSTY SHOES
dutchie,https://www.instagram.com/dutchiebristol/         https://www.instagram.com/drsyntaxraps/,NOWHERE,SUNDAY,23:00 - 00:00,,,https://www.last.fm/music/dutchie,DUTCHIE
Dr Syntax,https://www.instagram.com/dutchiebristol/         https://www.instagram.com/drsyntaxraps/,NOWHERE,SUNDAY,23:00 - 00:00,,,https://www.last.fm/music/Dr+Syntax,DR SYNTAX
Dutty Moonshine Big Band,https://www.duttymoonshine.com/,GLADE,SATURDAY,21:45 - 22:45,Massive 13-piece band with big brass and even bigger bass and a take no prisoner’s attitude filled with infectious energy.,,https://www.last.fm/music/Dutty+Moonshine+Big+Band,DUTTY MOONSHINE BIG BAND
Dylan,https://www.iamdylanofficial.com/,BBC MUSIC INTRODUCING,FRIDAY,20:00 - 20:30,Singalong and overtly lovable electro indie pop as loved by Ed Sheeran courtesy of songwriter Natasha Woods.,a07cdd28-fd24-4642-bea7-06fe459dfa83,https://www.last.fm/music/Dylan,DYLAN
Eats Everything,,STONEBRIDGE BAR,THURSDAY,22:00 - 23:30,,dd64ccdc-8087-47ab-8774-a40a4c37a3d9,https://www.last.fm/music/Eats+Everything,EATS EVERYTHING
Pete Tong,,STONEBRIDGE BAR,THURSDAY,01:00 - 03:00,,b9585df2-bb26-4523-83fa-53d18b754d5b,https://www.last.fm/music/Pete+Tong,PETE TONG
Eaves Wilder,https://eaveswilder.com/,BBC MUSIC INTRODUCING,SATURDAY,14:00 - 14:30,"Jumper-stealing angsty teen pop with a punky edge, chugging guitars and singalong choruses.",,https://www.last.fm/music/Eaves+Wilder,EAVES WILDER
Ecoli,https://open.spotify.com/artist/2mpy1k969lurkehrzb5ljy?si=p3ti7_yqsfuef_i3x58gaw,THE SALON CAROUSEL,SATURDAY,04:00 - 05:00,,,https://www.last.fm/music/Ecoli,ECOLI
Effy ft Flowdan,http://effy (@its_effyy) | instagram,NOWHERE,FRIDAY,15:00 - 16:00,,,https://www.last.fm/music/Effy+ft+Flowdan,EFFY FT FLOWDAN
Effy,,STONEBRIDGE BAR,SATURDAY,23:00 - 00:00,,,https://www.last.fm/music/Effy,EFFY
Eli Brown,,THE LEVELS,FRIDAY,22:30 - 00:00,"Singled out for his gritty style, renowned for his sinister approach, creating twisted dancefloor hits packed with vibrant club-ready energy.",,https://www.last.fm/music/Eli+Brown,ELI BROWN
Elias Mazian,https://www.instagram.com/eliasmazian/?hl=en,SAN REMO,THURSDAY,19:30 - 21:00,,,https://www.last.fm/music/Elias+Mazian,ELIAS MAZIAN
Eliza Legzdina,https://www.instagram.com/legzdinae/,GREENPEACE,FRIDAY,17:00 - 17:45,,,https://www.last.fm/music/Eliza+Legzdina,ELIZA LEGZDINA
Eliza Rose,"https://ra.co/dj/sallyc
 https://danshake.com/
 https://ra.co/dj/elizarose",GENOSYS SOUND SYSTEM,FRIDAY,18:00 - 22:00,,,https://www.last.fm/music/Eliza+Rose,ELIZA ROSE
Dan Shake,"https://ra.co/dj/sallyc
 https://danshake.com/
 https://ra.co/dj/elizarose",GENOSYS SOUND SYSTEM,FRIDAY,18:00 - 22:00,,,https://www.last.fm/music/Dan+Shake,DAN SHAKE
Sally C,"https://ra.co/dj/sallyc
 https://danshake.com/
 https://ra.co/dj/elizarose",GENOSYS SOUND SYSTEM,FRIDAY,18:00 - 22:00,,,https://www.last.fm/music/Sally+C,SALLY C
Elkka,https://www.instagram.com/elkkamusic/,ARCADIA,FRIDAY,21:30 - 22:30,,,https://www.last.fm/music/Elkka,ELKKA
Ellie Dixon,https://www.elliedixonmusic.com/,BBC MUSIC INTRODUCING,SATURDAY,15:00 - 15:30,TikTok star known for the music and comedy videos posted to her elliedixonmusic account with many millions following.,,https://www.last.fm/music/Ellie+Dixon,ELLIE DIXON
Ellie Prohan,https://www.instagram.com/ellieprohan/,THE RUM SHACK,THURSDAY,02:00 - 03:00,,,https://www.last.fm/music/Ellie+Prohan,ELLIE PROHAN
Elmiene,https://www.instagram.com/elmiene/,BBC MUSIC INTRODUCING,FRIDAY,13:00 - 13:30,Super soulful songwriter who’s been compared to a cross between D’Angelo and Sampha.,,https://www.last.fm/music/Elmiene,ELMIENE
Elton John,https://www.eltonjohn.com/,PYRAMID STAGE,SUNDAY,21:00 - 23:05,"The final show of Sir Elton John’s final tour, expect it to be emotional, filled with hits and, let’s face it, the only way to end this year’s festival.",b83bc61f-8451-4a5d-8b8e-7e9ed295e822,https://www.last.fm/music/Elton+John,ELTON JOHN
Elvana,https://www.elvana.co.uk,AVALON STAGE,SUNDAY,15:20 - 16:20,Cathartic Elvis fronted Nirvana tearing through Kurt’s catalogue spliced with The King’s finest moments.,,https://www.last.fm/music/Elvana,ELVANA
Elvé,https://www.instagram.com/michael_elve/,BABYLON UPRISING,SATURDAY,14:00 - 15:00,,,https://www.last.fm/music/Elv%C3%A9,ELVÉ
Emerald,http://emerald (@emeraldroselewis) | instagram,NOWHERE,FRIDAY,23:00 - 00:00,,dbace79f-5f06-40c2-a595-542a306dbbc0,https://www.last.fm/music/Emerald,EMERALD
Emily Dust,https://www.instagram.com/emily_dust/,BABYLON UPRISING,SUNDAY,19:00 - 20:00,,,https://www.last.fm/music/Emily+Dust,EMILY DUST
English Disco Lovers,https://www.instagram.com/engdiscolovers/,GLADE,FRIDAY,14:10 - 16:10,"Irrepressible mix of disco, humour, inclusivity and fun from Brighton's legendary party starters.",,https://www.last.fm/music/English+Disco+Lovers,ENGLISH DISCO LOVERS
Enzo Siragusa,https://www.instagram.com/enzosiragusa/?hl=en,GLADE,FRIDAY,21:30 - 22:50,"Passionate, enthusiastic and obsessive DJ building a community around his club night Fuse, while maintaining a successful career as a DJ and producer.",,https://www.last.fm/music/Enzo+Siragusa,ENZO SIRAGUSA
Euphonique,http://www.djeuphonique.com,THE SALON CAROUSEL,THURSDAY,00:00 - 01:00,,2b1cdd3d-4cd7-4bd2-a873-af41c175457c,https://www.last.fm/music/Euphonique,EUPHONIQUE
Eva,https://linktr.ee/eval3wis,BREAD AND ROSES,THURSDAY,14:30 - 15:30,,e0fe420a-f89f-4e23-8737-e30d0917bc65,https://www.last.fm/music/Eva,EVA
Ewan McVicar,https://www.instagram.com/ewanmcvicar_,GLADE,THURSDAY,22:05 - 23:05,"DJ and producer, one of the UK's brightest new talents whose music continues to be played all around the world by some of the biggest artists.",,https://www.last.fm/music/Ewan+McVicar,EWAN MCVICAR
Kettama,,THE LEVELS,FRIDAY,19:30 - 21:00,"DJ and producer who hit big with ‘Tell Me Something Good’ a couple of years back, sparring with Kettama’s hard hitting house.",,https://www.last.fm/music/Kettama,KETTAMA
Example,https://www.facebook.com/leadingbyexample,GLADE,THURSDAY,19:00 - 19:55,"Chart topping crossover dance icon who has maintained momentum with career defining festival sets, sold out tours and multiple platinum records.",ddeb3502-8693-4619-b41d-263105f84477,https://www.last.fm/music/Example,EXAMPLE
Extra Medium,https://www.instagram.com/extramediumuk/?hl=en,THE BUG,SATURDAY,18:00 - 20:00,,,https://www.last.fm/music/Extra+Medium,EXTRA MEDIUM
Doppler,https://www.instagram.com/extramediumuk/?hl=en,THE BUG,SATURDAY,18:00 - 20:00,,68567425-f46f-477e-be1b-609ce5ddee47,https://www.last.fm/music/Doppler,DOPPLER
Ezra Collective,https://ezracollective.com/,TRUTH STAGE,SATURDAY,00:00 - 01:00,,,https://www.last.fm/music/Ezra+Collective,EZRA COLLECTIVE
Ezra williams,https://ezrawilliamsmusic.com/,BREAD AND ROSES,FRIDAY,18:00 - 18:40,,,https://www.last.fm/music/Ezra+williams,EZRA WILLIAMS
faff,,STONEBRIDGE BAR,SUNDAY,23:00 - 00:00,,,https://www.last.fm/music/faff,FAFF
Family Jools,https://www.instagram.com/familyjoolsband,BREAD AND ROSES,FRIDAY,13:00 - 13:40,,,https://www.last.fm/music/Family+Jools,FAMILY JOOLS
Fanny Lumsden,https://www.fannylumsden.net,AVALON STAGE,FRIDAY,14:15 - 15:05,"Multi-award winning harmony-rich story-telling delivered with exuberance and joy from this Antipodean farmer, volunteer firefighter and community activist.",,https://www.last.fm/music/Fanny+Lumsden,FANNY LUMSDEN
Far From Saints,https://farfromsaintsband.com,AVALON STAGE,SUNDAY,18:20 - 19:20,"The Stereophonics’ Kelley Jones with Patty Lynn and Dwight Baker of Austin group The Wind And The Wave producing a hybrid of country, rock, folk, soul, and Americana",,https://www.last.fm/music/Far+From+Saints,FAR FROM SAINTS
New York Brass Band,https://continentaldrifts.co.uk/artist/chris-tofu/,TRUTH STAGE,SUNDAY,04:00 - 05:00,,,https://www.last.fm/music/New+York+Brass+Band,NEW YORK BRASS BAND
Farewell Party,https://continentaldrifts.co.uk/artist/chris-tofu/,TRUTH STAGE,SUNDAY,04:00 - 05:00,,,https://www.last.fm/music/Farewell+Party,FAREWELL PARTY
DJ Chris Tofu,https://continentaldrifts.co.uk/artist/chris-tofu/,TRUTH STAGE,SUNDAY,04:00 - 05:00,,,https://www.last.fm/music/DJ+Chris+Tofu,DJ CHRIS TOFU
K.O.G,https://continentaldrifts.co.uk/artist/chris-tofu/,TRUTH STAGE,SUNDAY,04:00 - 05:00,,,https://www.last.fm/music/K.O.G,K.O.G
Fatboy Slim,https://www.fatboyslim.net/,THE PARK STAGE,SATURDAY,23:00 - 00:15,"Superstar DJ, producer and genre surfing music fan whose eclectic taste and mixing skills are guaranteed to bring the house down on Saturday night.",ba81eb4a-0c89-489f-9982-0154b8083a28,https://www.last.fm/music/Fatboy+Slim,FATBOY SLIM
Feeding The Fish,https://www.feedingthefish.com/,OUTSIDE CIRCUS STAGE,FRIDAY,01:01 - 01:09,,,https://www.last.fm/music/Feeding+The+Fish,FEEDING THE FISH
Felix Dickinson,https://soundcloud.com/felix-dickinson,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,23:30 - 02:00,,,https://www.last.fm/music/Felix+Dickinson,FELIX DICKINSON
FERAL is KINKY,https://www.facebook.com/feraliskinky,GLADE DOME,FRIDAY,22:00 - 23:15,,d6c3d6e4-86e8-482c-9084-ff05baadc983,https://www.last.fm/music/FERAL+is+KINKY,FERAL IS KINKY
Dan Donovan,https://www.facebook.com/feraliskinky,GLADE DOME,FRIDAY,22:00 - 23:15,,035ecfe0-5ef5-48a0-857b-a41d00e413ee,https://www.last.fm/music/Dan+Donovan,DAN DONOVAN
Fever Ray,https://feverray.com/,THE PARK STAGE,FRIDAY,23:00 - 00:15,"Half of cult icons The Knife, Swedish singer who dabbles in trip hop, electropop and the darker side of electronica.",f7df5df4-4dfa-459d-972b-1ba051c15ddc,https://www.last.fm/music/Fever+Ray,FEVER RAY
Firouzeh,,STRUMMERVILLE,FRIDAY,19:00 - 19:30,,,https://www.last.fm/music/Firouzeh,FIROUZEH
Fisherman's Friends,https://thefishermansfriends.com,AVALON STAGE,SATURDAY,17:05 - 18:05,Cornwall’s best-known musical export or ‘buoy band’ with a Gold debut album and a box office smash film about their story.,71b0a203-6a7a-4d32-9600-e76ef50f298b,https://www.last.fm/music/Fisherman%27s+Friends,FISHERMAN'S FRIENDS
Fiyahdred,,STONEBRIDGE BAR,SUNDAY,22:00 - 23:00,,,https://www.last.fm/music/Fiyahdred,FIYAHDRED
Fizzy Gillespie,,TRUTH STAGE,THURSDAY,23:15 - 23:45,,,https://www.last.fm/music/Fizzy+Gillespie,FIZZY GILLESPIE
Flava D,http://flava d (@flava_d) • instagram photos and videos,NOWHERE,SATURDAY,19:00 - 20:00,,0258934a-d273-4bc2-bd5d-f44a0b90f44a,https://www.last.fm/music/Flava+D,FLAVA D
Fleetmac Wood,https://www.instagram.com/fleetmac_wood,GREENPEACE,SATURDAY,21:15 - 22:45,,,https://www.last.fm/music/Fleetmac+Wood,FLEETMAC WOOD
Fliss Mayo,https://www.instagram.com/flissmayo/?hl=en. https://www.instagram.com/dr_dubplate/?hl=en,BABYLON UPRISING,FRIDAY,00:00 - 01:00,,,https://www.last.fm/music/Fliss+Mayo,FLISS MAYO
Dr Dubplate,https://www.instagram.com/flissmayo/?hl=en. https://www.instagram.com/dr_dubplate/?hl=en,BABYLON UPRISING,FRIDAY,00:00 - 01:00,,,https://www.last.fm/music/Dr+Dubplate,DR DUBPLATE
FLO DILL,https://www.instagram.com/flollid/?hl=en,SAN REMO,FRIDAY,14:00 - 15:45,,,https://www.last.fm/music/FLO+DILL,FLO DILL
Floating Points,https://ra.co/dj/daphni // https://floatingpoints.co.uk/,ARCADIA,FRIDAY,00:30 - 02:00,,69d9c5ba-7bba-4cb7-ab32-8ccc48ad4f97,https://www.last.fm/music/Floating+Points,FLOATING POINTS
Flohio,https://www.flohio.uk/,THE PARK STAGE,SATURDAY,14:00 - 14:45,"Nigerian-born British rapper propagating unusual beats, expansive themes, genre fluidity and complex periodic double-time flows to full effect.",,https://www.last.fm/music/Flohio,FLOHIO
Folamour,,THE LEVELS,FRIDAY,18:00 - 19:30,Suave hat-toting French house producer and DJ.,,https://www.last.fm/music/Folamour,FOLAMOUR
Fold,https://ra.co/dj/fold,GENOSYS SOUND SYSTEM,SATURDAY,20:00 - 22:00,,84d8f705-ca35-4afa-86fc-e6845dbf81c8,https://www.last.fm/music/Fold,FOLD
Fonzie,https://on.soundcloud.com/luhuk,THE SALON CAROUSEL,SATURDAY,22:00 - 23:00,,d5bb1734-1d3b-437d-a094-cdacdc8b926e,https://www.last.fm/music/Fonzie,FONZIE
Fonzo,https://www.instagram.com/fon.zo/. https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,00:00 - 01:00,,,https://www.last.fm/music/Fonzo,FONZO
AÆE,https://www.instagram.com/fon.zo/. https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,00:00 - 01:00,,,https://www.last.fm/music/A%C3%86E,AÆE
EMMA KORANTEMA,,STONEBRIDGE BAR,SUNDAY,19:00 - 21:00,,,https://www.last.fm/music/EMMA+KORANTEMA,EMMA KORANTEMA
Foundation FM,,STONEBRIDGE BAR,SUNDAY,19:00 - 21:00,,,https://www.last.fm/music/Foundation+FM,FOUNDATION FM
Saint Ludo,,STONEBRIDGE BAR,SUNDAY,19:00 - 21:00,,,https://www.last.fm/music/Saint+Ludo,SAINT LUDO
Four Tet,https://www.fourtet.net/,IICON,FRIDAY,23:45 - 01:45,,3bcff06f-675a-451f-9075-99e8657047e8,https://www.last.fm/music/Four+Tet,FOUR TET
Frank Gane,https://www.mixcloud.com/frank-gane/dj-kbs-classic-reggae-mix/?fbclid=iwar2p-8he0zww2wgclvcw8_rd7de8tmoiyg7hpko5rvrnhvxm4djf55t0qhw,MANDALA STAGE,SUNDAY,11:00 - 12:00,,,https://www.last.fm/music/Frank+Gane,FRANK GANE
Frankie Francis,,HMS SWEET CHARITY,THURSDAY,03:00 - 05:00,,,https://www.last.fm/music/Frankie+Francis,FRANKIE FRANCIS
Frankie Morrow,https://www.instagram.com/frankiemorrowmusic,BREAD AND ROSES,THURSDAY,19:00 - 20:00,,,https://www.last.fm/music/Frankie+Morrow,FRANKIE MORROW
Freakenstein,https://ra.co/dj/freakenstein,IICON,SUNDAY,02:00 - 03:30,,,https://www.last.fm/music/Freakenstein,FREAKENSTEIN
Fred again..,https://www.fredagain.com/,OTHER STAGE,FRIDAY,20:30 - 21:30,Downtempo hip hopper and sought after songwriter (George Ezra/Rita Ora) forging his own sound that’s earned a shelf of gold records.,,https://www.last.fm/music/Fred+again..,FRED AGAIN..
Freya Ridings,https://freyaridings.com,AVALON STAGE,FRIDAY,21:35 - 22:35,‘Lost Without You’ global hit maker (over a billion streams and counting) with a fine line in piano ballads.,,https://www.last.fm/music/Freya+Ridings,FREYA RIDINGS
Funke and the Two Tone Baby,https://funkeandthetwotonebaby.co.uk/,GREENPEACE,THURSDAY,18:30 - 19:30,,5e7c3e00-3d35-47c1-99ee-b3cf442b961c,https://www.last.fm/music/Funke+and+the+Two+Tone+Baby,FUNKE AND THE TWO TONE BABY
Rich NXT,https://ra.co/dj/richnxt,FLYING BUS,FRIDAY,01:00 - 02:30,,,https://www.last.fm/music/Rich+NXT,RICH NXT
Felon 5,https://ra.co/dj/felon5,FLYING BUS,FRIDAY,22:00 - 23:30,,,https://www.last.fm/music/Felon+5,FELON 5
Gene On Earth,https://ra.co/dj/geneonearth,FLYING BUS,FRIDAY,23:30 - 01:00,,,https://www.last.fm/music/Gene+On+Earth,GENE ON EARTH
Tristan,https://ra.co/dj/laidlaw-uk,FLYING BUS,FRIDAY,02:30 - 04:00,,9bfa30cd-73fb-4208-a6f6-3b7b6d3e4f90,https://www.last.fm/music/Tristan,TRISTAN
Laidlaw,https://ra.co/dj/laidlaw-uk,FLYING BUS,FRIDAY,02:30 - 04:00,,17bc25eb-c11c-4681-86d6-835ef3ea684c,https://www.last.fm/music/Laidlaw,LAIDLAW
Future Shape of Sound,https://www.facebook.com/thefutureshapeofsound/,BIMBLE INN,SATURDAY,02:15 - 03:15,,,https://www.last.fm/music/Future+Shape+of+Sound,FUTURE SHAPE OF SOUND
Future Utopia,https://www.instagram.com/frasertsmith,GREENPEACE,SATURDAY,20:00 - 21:15,,,https://www.last.fm/music/Future+Utopia,FUTURE UTOPIA
Gabby Gunn,https://www.instagram.com/djgabbygunn/,THE RUM SHACK,SUNDAY,04:00 - 05:00,,,https://www.last.fm/music/Gabby+Gunn,GABBY GUNN
Gabrielle Aplin,https://gabrielleaplin.com,CROISSANT NEUF,SATURDAY,13:30 - 14:30,,4abebe04-1e85-427b-9950-563945850f2e,https://www.last.fm/music/Gabrielle+Aplin,GABRIELLE APLIN
gabriels,https://www.instagram.com/__gabriels__/?hl=en,WEST HOLTS STAGE,FRIDAY,17:30 - 18:30,"Anointed by pop royalty such as Harry Styles and Elton John, Gabriels bring gospel, soul and dance sounds, fronted by the majestic presence of Jacob Lusk.",,https://www.last.fm/music/gabriels,GABRIELS
Gaby Kettle,,CROISSANT NEUF BANDSTAND,THURSDAY,13:00 - 13:20,,,https://www.last.fm/music/Gaby+Kettle,GABY KETTLE
Ganzo,https://www.mixcloud.com/squish-squish-squish/,TOLPUDDLE,THURSDAY,19:30 - 21:30,,,https://www.last.fm/music/Ganzo,GANZO
Gardna,,BLIND TIGER,FRIDAY,22:00 - 23:00,,,https://www.last.fm/music/Gardna,GARDNA
Kreed,https://soundcloud.com/gardna,BLIND TIGER,FRIDAY,23:00 - 00:00,,47308bb0-d2a5-4ea1-b89e-f4b97015def8,https://www.last.fm/music/Kreed,KREED
Gardna & Kreed,https://soundcloud.com/gardna,BLIND TIGER,FRIDAY,23:00 - 00:00,,,https://www.last.fm/music/Gardna+&+Kreed,GARDNA & KREED
Jeremiah Asiamah,https://www.bbc.co.uk/programmes/m0005h4r,BLIND TIGER,FRIDAY,00:00 - 01:00,,,https://www.last.fm/music/Jeremiah+Asiamah,JEREMIAH ASIAMAH
Lens,https://soundcloud.com/lens_dnb,BLIND TIGER,FRIDAY,04:00 - 05:00,,feaeda61-3657-4f4c-86a6-9332588322a0,https://www.last.fm/music/Lens,LENS
Dread MC,https://mynuleng.com/,BLIND TIGER,FRIDAY,01:00 - 02:00,,,https://www.last.fm/music/Dread+MC,DREAD MC
Sam Supplier,https://soundcloud.com/samsupplier,BLIND TIGER,FRIDAY,03:00 - 04:00,,,https://www.last.fm/music/Sam+Supplier,SAM SUPPLIER
Sarah Story,https://www.bbc.co.uk/programmes/m000zc82,BLIND TIGER,FRIDAY,02:00 - 03:00,,,https://www.last.fm/music/Sarah+Story,SARAH STORY
UNGLUED,https://soundcloud.com/unglueddnb,BLIND TIGER,FRIDAY,05:00 - 06:00,,,https://www.last.fm/music/UNGLUED,UNGLUED
Gareth Jones,,THE PAVEMENT,WEDNESDAY,14:00 - 14:30,,9b15927f-c85f-42ca-8228-43d27723f717,https://www.last.fm/music/Gareth+Jones,GARETH JONES
Gavin James,https://www.instagram.com/gavinjameslive,ACOUSTIC STAGE,FRIDAY,18:30 - 19:30,"Dublin singer-songwriter with two billion streams, one Diamond and 45 Platinum and Gold records across the globe.",efd22686-4b72-43d5-9265-d5b073f550d1,https://www.last.fm/music/Gavin+James,GAVIN JAMES
Gaz Brookfield,https://gazbrookfield.com,CROISSANT NEUF,SUNDAY,14:30 - 15:30,,63be16a7-c539-46e0-bcf9-01ad0ad465f5,https://www.last.fm/music/Gaz+Brookfield,GAZ BROOKFIELD
