title,url,stage,day,time,mbid,lfm_url,orig_name
A Little Sound,https://www.mixcloud.com/tobyspin/,BLIND TIGER,THURSDAY,00:00 - 01:00,,https://www.last.fm/music/A+Little+Sound,A LITTLE SOUND
a-future,https://ra.co/dj/afuture,IICON,SUNDAY,02:00 - 03:30,,https://www.last.fm/music/a-future,A-FUTURE
A.M.C & Phantom,,THE TEMPLE,SATURDAY,01:30 - 02:30,,https://www.last.fm/music/A.M.C+&+Phantom,A.M.C & PHANTOM
A.M.C,,SONIC,SUNDAY,16:00 - 17:00,2eaefc66-d037-4b74-8a33-a1555b17eabf,https://www.last.fm/music/A.M.C,A.M.C
Phantom,,SONIC,SUNDAY,16:00 - 17:00,c8345b5c-f780-45c4-9745-9d35a547252a,https://www.last.fm/music/Phantom,PHANTOM
AAA BADBOY,https://aaabadboy.wordpress.com/about/,TRUTH STAGE,THURSDAY,00:35 - 01:00,,https://www.last.fm/music/AAA+BADBOY,AAA BADBOY
Fonzo,https://www.instagram.com/fon.zo,BABYLON UPRISING,THURSDAY,01:00 - 02:45,,https://www.last.fm/music/Fonzo,FONZO
Absolute.,https://www.instagram.com/absoluteishere,GREENPEACE,SATURDAY,22:00 - 00:00,,https://www.last.fm/music/Absolute.,ABSOLUTE.
Adaeze,https://www.instagram.com/whoopsadaezee/,BABYLON UPRISING,SUNDAY,18:00 - 19:00,,https://www.last.fm/music/Adaeze,ADAEZE
Adam Scott Glasspool,,THE LIZARD STAGE,FRIDAY,16:00 - 17:00,,https://www.last.fm/music/Adam+Scott+Glasspool,ADAM SCOTT GLASSPOOL
Adam Shelton,https://ra.co/dj/afuture,IICON,THURSDAY,20:00 - 21:25,9cf89ec8-9e98-4d0a-a7f4-1a41fa45bfe6,https://www.last.fm/music/Adam+Shelton,ADAM SHELTON
Adwaith,,BBC MUSIC INTRODUCING,SATURDAY,14:00 - 14:25,,https://www.last.fm/music/Adwaith,ADWAITH
AFRODEUTSCHE,http://bbc.co.uk/programmes/m0011g3g,ARCADIA,SUNDAY,22:30 - 23:30,,https://www.last.fm/music/AFRODEUTSCHE,AFRODEUTSCHE
Frenic,,BLIND TIGER,THURSDAY,22:00 - 00:00,979d5884-a2de-4be8-9468-bb32f76a23c8,https://www.last.fm/music/Frenic,FRENIC
Blacksmith & Frenic,,BLIND TIGER,THURSDAY,22:00 - 00:00,,https://www.last.fm/music/Blacksmith+&+Frenic,BLACKSMITH & FRENIC
Blacksmith,,BLIND TIGER,THURSDAY,22:00 - 00:00,af237347-0b53-450c-a913-f5a96b506fcf,https://www.last.fm/music/Blacksmith,BLACKSMITH
Critical Impact,,BLIND TIGER,SUNDAY,01:30 - 04:00,508bc4ef-6870-4a37-b402-1080ec12c7d3,https://www.last.fm/music/Critical+Impact,CRITICAL IMPACT
Dazee,,BLIND TIGER,SUNDAY,01:30 - 04:00,,https://www.last.fm/music/Dazee,DAZEE
Dubbz,,BLIND TIGER,SUNDAY,01:30 - 04:00,,https://www.last.fm/music/Dubbz,DUBBZ
Move,,BLIND TIGER,SUNDAY,01:30 - 04:00,b58a2815-9c15-4fc8-b023-9bea7207e877,https://www.last.fm/music/Move,MOVE
Ahadadream,,STONEBRIDGE BAR,FRIDAY,20:00 - 21:30,,https://www.last.fm/music/Ahadadream,AHADADREAM
AJ Tracey,https://www.ajtracey.co.uk/,PYRAMID STAGE,SATURDAY,16:00 - 16:45,,https://www.last.fm/music/AJ+Tracey,AJ TRACEY
Ajimal,https://www.ajimal.co.uk/,BREAD AND ROSES,SUNDAY,12:30 - 13:30,,https://www.last.fm/music/Ajimal,AJIMAL
Akira,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,FRIDAY,12:35 - 13:05,fb2fc980-381b-4158-ad88-e6512c7a8af2,https://www.last.fm/music/Akira,AKIRA
Alecto,,BABYLON UPRISING,SATURDAY,22:00 - 23:00,,https://www.last.fm/music/Alecto,ALECTO
Alewya,,BBC MUSIC INTRODUCING,SATURDAY,18:10 - 18:35,,https://www.last.fm/music/Alewya,ALEWYA
Alex H Duncan,https://irregular-patterns.com/alex-h-duncan-music-from-the-real-world/,GREENPEACE,SUNDAY,10:00 - 11:00,,https://www.last.fm/music/Alex+H+Duncan,ALEX H DUNCAN
Alex Hall,,SMALL WORLD STAGE,SUNDAY,18:45 - 19:45,,https://www.last.fm/music/Alex+Hall,ALEX HALL
Alex Rex,https://alexrex.bandcamp.com/,THE BANDSTAND,SATURDAY,15:00 - 15:40,,https://www.last.fm/music/Alex+Rex,ALEX REX
Alfie Templeman,https://alfietempleman.com/,WILLIAM'S GREEN,FRIDAY,20:30 - 21:30,,https://www.last.fm/music/Alfie+Templeman,ALFIE TEMPLEMAN
Algy Strutt,https://soundcloud.com/algy-strutt,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,02:00 - 03:00,,https://www.last.fm/music/Algy+Strutt,ALGY STRUTT
Alice Offley,,THE LIZARD STAGE,SATURDAY,21:00 - 22:00,,https://www.last.fm/music/Alice+Offley,ALICE OFFLEY
All We Are,https://www.thisisallweare.co.uk/,WILLIAM'S GREEN,FRIDAY,15:30 - 16:10,a77ecc68-bd2d-483e-b21a-3b3dc21f611d,https://www.last.fm/music/All+We+Are,ALL WE ARE
Alps 2,,STRUMMERVILLE,THURSDAY,23:30 - 01:30,,https://www.last.fm/music/Alps+2,ALPS 2
