title,url,stage,day,time,lfm_id
Baby Wolf,,GREENPEACE/ THE ENGINE ROOM,THURSDAY,01:00 - 02:00,35436133
Back Before Breakfast,https://myspace.com/backbeforebreakfast,THE BANDSTAND,SUNDAY,14:00 - 14:40,75304205
Bad For Lazarus,http://badforlazarus.wordpress.com/,HELL STAGE,SATURDAY,22:05 - 23:50,45999709
Baggy Mondays,http://www.facebook.com/baggymondays,STONEBRIDGE,THURSDAY,19:00 - 20:30,83567161
Baghdaddies,,THE HOUSE OF COME ONS,SUNDAY,01:30 - 02:30,2152486
Bahamian Moor,,THE BEAT HOTEL,FRIDAY,12:00 - 13:30,61320753
Baila La Cumbia,https://bailalacumbia.wordpress.com,THE BANDSTAND,SATURDAY,22:30 - 23:30,29023097
Balthazar,http://www.balthazarband.be/,LA PUSSY PARLURE,THURSDAY,02:00 - 03:00,2041861
Banco De Gaia,http://www.banco.co.uk,CROISSANT NEUF,SUNDAY,01:00 - 02:00,2072
Banoffee Pies,https://soundcloud.com/banoffee-pies,THE TEMPLE,SUNDAY,22:00 - 23:00,88011583
Bare Hunter,http://www.barehunter.co.uk/,AVALON CAFÉ STAGE,SUNDAY,21:00 - 22:00,87290217
Bare Knuckle Parade,http://www.bareknuckleparade.com/,AVALON STAGE,FRIDAY,14:20 - 15:15,87041698
Barry Ashworth,,GREENPEACE/ THE ENGINE ROOM,THURSDAY,00:00 - 01:00,1216524
Barry Castagnola,,CABARET,SUNDAY,21:03 - 00:00,15585925
Bashment Bish,,DELUXE DINER,Sunday,18:00 - 19:30,54148156
Batch Gueye Band,http://www.batchgueye.co.uk,CROISSANT NEUF,SUNDAY,17:30 - 18:30,88978880
Batida,https://www.facebook.com/batida,LA PUSSY PARLURE,SUNDAY,18:45 - 19:45,6672278
Beans On Toast,,GREENPEACE,SATURDAY,12:00 - 12:30,15346901
Bear's Den,http://www.bearsdenmusic.co.uk/,AVALON STAGE,SUNDAY,16:55 - 17:55,66690048
Bearcubs,https://www.facebook.com/bearcubsmusic,BBC INTRODUCING,FRIDAY,17:30 - 17:55,62990401
Beauchamp,,BABYLON UPRISING,SATURDAY,13:00 - 14:00,13311674
Belle and Sebastian,http://www.belleandsebastian.com/,OTHER STAGE,SUNDAY,18:45 - 19:45,1001531
Ben,http://www.benandlex.co.uk,GLADE LOUNGE,THURSDAY,12:00 - 01:30,1064690
