title,url,stage,day,time,mbid,lfm_url,orig_name
a-future,https://www.facebook.com/afuturedimension/,IICON,SATURDAY,04:30 - 06:00,,https://www.last.fm/music/a-future,A-FUTURE
AAA BADBOY,https://aaabadboy.wordpress.com/author/aaabadboy/,GREENPEACE STAGE,SUNDAY,17:30 - 19:00,,https://www.last.fm/music/AAA+BADBOY,AAA BADBOY
Absalon,,GULLY BLUES,FRIDAY,21:05 - 22:40,,https://www.last.fm/music/Absalon,ABSALON
Absolute.,https://www.residentadvisor.net/dj/absolute,GREENPEACE STAGE,FRIDAY,23:30 - 00:30,,https://www.last.fm/music/Absolute.,ABSOLUTE.
Acid Mothers Temple,http://acidmothers.com/,WEST HOLTS STAGE,FRIDAY,13:00 - 14:00,,https://www.last.fm/music/Acid+Mothers+Temple,ACID MOTHERS TEMPLE
Acido Pantera,http://acidopantera.com/,GULLY BLUES,FRIDAY,18:25 - 19:25,,https://www.last.fm/music/Acido+Pantera,ACIDO PANTERA
Das Brass,"http://www.newyorkbrassband.co.uk/
 https://www.brassfunkeys.com/",TRUTH STAGE,THURSDAY,18:00 - 20:00,,https://www.last.fm/music/Das+Brass,DAS BRASS
The Brass Funkeys,"http://www.newyorkbrassband.co.uk/
 https://www.brassfunkeys.com/",TRUTH STAGE,THURSDAY,18:00 - 20:00,,https://www.last.fm/music/The+Brass+Funkeys,THE BRASS FUNKEYS
Dat Brass,"http://www.newyorkbrassband.co.uk/
 https://www.brassfunkeys.com/",TRUTH STAGE,THURSDAY,18:00 - 20:00,,https://www.last.fm/music/Dat+Brass,DAT BRASS
Adam Scott Glasspool,,MANDALA STAGE,THURSDAY,18:00 - 19:00,,https://www.last.fm/music/Adam+Scott+Glasspool,ADAM SCOTT GLASSPOOL
Guests,https://www.facebook.com/aftrecords/,BLIND TIGER,SUNDAY,20:30 - 21:30,,https://www.last.fm/music/Guests,GUESTS
Blacksmith,https://www.facebook.com/aftrecords/,BLIND TIGER,SUNDAY,20:30 - 21:30,af237347-0b53-450c-a913-f5a96b506fcf,https://www.last.fm/music/Blacksmith,BLACKSMITH
Carasel,https://www.facebook.com/aftrecords/,BLIND TIGER,SUNDAY,20:30 - 21:30,,https://www.last.fm/music/Carasel,CARASEL
Akespeare,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,,https://www.last.fm/music/Akespeare,AKESPEARE
Sinai,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,,https://www.last.fm/music/Sinai,SINAI
Move,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,b58a2815-9c15-4fc8-b023-9bea7207e877,https://www.last.fm/music/Move,MOVE
Dubbz,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,,https://www.last.fm/music/Dubbz,DUBBZ
Deviant,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,c1f2774a-80b2-447f-a9da-1c1a3dc5fa04,https://www.last.fm/music/Deviant,DEVIANT
Khemikal,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,,https://www.last.fm/music/Khemikal,KHEMIKAL
Changing Ways,"https://www.facebook.com/caraselmc/ 
https://www.facebook.com/aftrecords/
https://www.facebook.com/ambushfamily/",BLIND TIGER,SUNDAY,23:00 - 01:00,,https://www.last.fm/music/Changing+Ways,CHANGING WAYS
Age Of Glass,https://ageofglass.bandcamp.com,TOAD HALL,FRIDAY,20:30 - 21:20,,https://www.last.fm/music/Age+Of+Glass,AGE OF GLASS
AileeN,,THE PAVEMENT,WEDNESDAY,16:55 - 16:25,,https://www.last.fm/music/AileeN,AILEEN
AJ Tracey,https://www.ajtracey.co.uk/,WOW,SATURDAY,02:00 - 03:00,,https://www.last.fm/music/AJ+Tracey,AJ TRACEY
Albert Hammond,https://www.alberthammond.com,ACOUSTIC STAGE,SUNDAY,20:00 - 21:00,364f3cef-442b-4182-ae78-4e7e79683c24,https://www.last.fm/music/Albert+Hammond,ALBERT HAMMOND
Aleighcia Scott,http://aleighciascott.com,SAMULA,FRIDAY,00:00 - 01:00,,https://www.last.fm/music/Aleighcia+Scott,ALEIGHCIA SCOTT
Algiers,http://algierstheband.com,LEFT FIELD,SUNDAY,19:30 - 20:30,685a5aa7-68b9-4293-9bd8-a6e4ac6b5160,https://www.last.fm/music/Algiers,ALGIERS
Algy Strutt,https://soundcloud.com/algy-strutt,RABBIT HOLE'S FUNKINGHAM PALACE,THURSDAY,00:00 - 01:00,,https://www.last.fm/music/Algy+Strutt,ALGY STRUTT
Alicai Harley,http://www.alicaiharley.com/,GULLY BLUES,SATURDAY,19:30 - 20:00,,https://www.last.fm/music/Alicai+Harley,ALICAI HARLEY
Aliji,,GLADE LOUNGE,SATURDAY,19:15 - 21:00,,https://www.last.fm/music/Aliji,ALIJI
Alisha,https://twitter.com/djalishauk,FLYING BUS,FRIDAY,23:00 - 00:30,b5c01fb2-8e7d-411e-8eac-9d6533faa396,https://www.last.fm/music/Alisha,ALISHA
BiMM,,CROISSANT NEUF BANDSTAND,THURSDAY,12:25 - 12:45,,https://www.last.fm/music/BiMM,BIMM
Alma,https://cyberalma.com/,JOHN PEEL STAGE,SUNDAY,12:30 - 13:30,d19fec97-a8c5-403a-a0a5-18785fa8c15c,https://www.last.fm/music/Alma,ALMA
Altar,,BABYLON UPRISING,FRIDAY,23:00 - 00:00,fb8b5671-1422-40a3-bc8d-c1cbd9b4dc21,https://www.last.fm/music/Altar,ALTAR
Altern-8,,THE GAS TOWER,SUNDAY,04:00 - 05:00,,https://www.last.fm/music/Altern-8,ALTERN-8
Slipmatt,,THE GAS TOWER,SUNDAY,04:00 - 05:00,1d82f644-3cb7-4e71-bb00-3896ceadb2f6,https://www.last.fm/music/Slipmatt,SLIPMATT
Altern8,,BABYLON UPRISING,FRIDAY,00:00 - 01:00,,https://www.last.fm/music/Altern8,ALTERN8
Ama Lou,http://amaloumusic.com/,THE PARK STAGE,SATURDAY,12:45 - 13:30,,https://www.last.fm/music/Ama+Lou,AMA LOU
Amateurism,https://www.facebook.com/amateurism-113238548757181/,THE BEAT HOTEL,WEDNESDAY,22:30 - 00:00,,https://www.last.fm/music/Amateurism,AMATEURISM
