title,url,stage,day,time,mbid,lfm_url,orig_name
airsine,https://www.airsine.co.uk,CORNISH ARMS,SATURDAY,19:00 - 21:00,,,https://www.last.fm/music/airsine,AIRSINE
Akira,,MAVERICKS,FRIDAY,01:59 - 02:07,,fb2fc980-381b-4158-ad88-e6512c7a8af2,https://www.last.fm/music/Akira,AKIRA
Albert Lee,https://www.instagram.com/official_albert_lee,ACOUSTIC STAGE,SATURDAY,16:00 - 16:40,Well-travelled guitarist’s guitarist with a unique picking style performed at breakneck speeds that have to be seen to be believed.,ed0e3e7d-cc87-4f09-a5a7-f8d47cfac9cb,https://www.last.fm/music/Albert+Lee,ALBERT LEE
Alex HARDING,,CROISSANT NEUF BANDSTAND,FRIDAY,17:00 - 17:30,,4e8d6758-cabe-4edd-9e79-0731f420e846,https://www.last.fm/music/Alex+HARDING,ALEX HARDING
Alex Kassian,https://www.instagram.com/alex__kassian/?hl=en,SAN REMO,THURSDAY,17:00 - 18:30,,,https://www.last.fm/music/Alex+Kassian,ALEX KASSIAN
Alex Mills,https://www.instagram.com/blamealexmills/?hl=en,NOWHERE,FRIDAY,00:00 - 01:00,,b0f3410f-4df4-4987-b6b9-849d7e8ecd60,https://www.last.fm/music/Alex+Mills,ALEX MILLS
Alex Nut,,FIRMLY ROOTED,FRIDAY,16:00 - 18:00,"Label catalyst bringing house, soul, boogie, funk, hip hop, broken beat, jazz and a variety of electronic sounds.",,https://www.last.fm/music/Alex+Nut,ALEX NUT
Alexander Nut,https://www.instagram.com/alexandernut/?hl=en,SAN REMO,SATURDAY,19:00 - 20:30,,8f193440-687c-4636-a2ba-9dff18254557,https://www.last.fm/music/Alexander+Nut,ALEXANDER NUT
Alice,,MAVERICKS,SATURDAY,00:16 - 00:24,,e32f2cd6-8695-4914-9c24-72e02ebd09ee,https://www.last.fm/music/Alice,ALICE
Alisha,,LEVELS,SATURDAY,19:30 - 21:00,House sounds with some sultry deep rumbling low-end bass.,b5c01fb2-8e7d-411e-8eac-9d6533faa396,https://www.last.fm/music/Alisha,ALISHA
Archie Hamilton,,LEVELS,SATURDAY,19:30 - 21:00,House sounds with some sultry deep rumbling low-end bass.,,https://www.last.fm/music/Archie+Hamilton,ARCHIE HAMILTON
Alma Twist,https://soundcloud.com/katrynaabel,LUNCHED OUT LIZARDS,SATURDAY,21:00 - 22:00,,,https://www.last.fm/music/Alma+Twist,ALMA TWIST
Arthi,,LONELY HEARTS CLUB,THURSDAY,22:30 - 23:45,"International DJ, MC and broadcaster Almass Badat meets Arthi’s high-octane club sounds from dancehall to baile funk to garage, bassline and beyond.",,https://www.last.fm/music/Arthi,ARTHI
Alogte Oho & His Sounds of Joy,https://leguesswho.com/lineup/alogte-oho-his-sounds-of-joy?referrer=search,WEST HOLTS STAGE,SATURDAY,14:30 - 15:30,"Rarely has a band lived up to its name as well as this Ghanian collective, fusing sinuous Afrofunk with glorious vocal harmonies.",,https://www.last.fm/music/Alogte+Oho+&+His+Sounds+of+Joy,ALOGTE OHO & HIS SOUNDS OF JOY
Altern 8 / Mark Archer,https://www.altern8official.com/,CORNISH ARMS,SATURDAY,01:30 - 03:00,,,https://www.last.fm/music/Altern+8+%2F+Mark+Archer,ALTERN 8 / MARK ARCHER
Alucidnation,https://alucidnation.co.uk/,GLADE DOME,FRIDAY,11:30 - 12:45,"Scenic, panoramic soundscaping. Aural Architecture.",0be97305-49dc-4211-beca-31ea41fdc8f4,https://www.last.fm/music/Alucidnation,ALUCIDNATION
Alvvays,http://alvvays.com/,WOODSIES,SUNDAY,17:00 - 18:00,Melody driven alternative rock with often “pathetic perspectives” on life and a hint of singer Molly Rankin’s Celtic roots.,99450990-b24e-4132-bb68-235f8c3e2564,https://www.last.fm/music/Alvvays,ALVVAYS
Amaliah,,ASSEMBLY,SATURDAY,20:00 - 22:00,"A wicked mix of rampant and rhythmic bass, techno and house from this duo who first teamed up at the tail end of last year.",,https://www.last.fm/music/Amaliah,AMALIAH
Danielle,,ASSEMBLY,SATURDAY,20:00 - 22:00,"A wicked mix of rampant and rhythmic bass, techno and house from this duo who first teamed up at the tail end of last year.",8b42be41-94d4-4e6d-a525-7dd0ca1f635f,https://www.last.fm/music/Danielle,DANIELLE
Amancai,https://www.instagram.com/amancaidj/,MEZ YARD,FRIDAY,23:00 - 01:00,,,https://www.last.fm/music/Amancai,AMANCAI
Arias,https://www.instagram.com/amancaidj/,MEZ YARD,FRIDAY,23:00 - 01:00,,dec25a42-9dcf-4ee9-a07c-d2ed7bbb557b,https://www.last.fm/music/Arias,ARIAS
Amateurism,https://www.instagram.com/amateurismcollective/,SAN REMO,SATURDAY,11:30 - 13:00,,,https://www.last.fm/music/Amateurism,AMATEURISM
Amelie Lens,https://www.instagram.com/amelie_lens,ARCADIA,FRIDAY,01:50 - 03:00,,,https://www.last.fm/music/Amelie+Lens,AMELIE LENS
An Dannsa Dub,https://www.andannsadub.com/,PEACE STAGE,THURSDAY,23:30 - 00:15,,,https://www.last.fm/music/An+Dannsa+Dub,AN DANNSA DUB
ana roxanne,https://anaroxanne.bandcamp.com,TREE STAGE,THURSDAY,21:55 - 22:50,"Embodying the radiance of R&B vocalists, the immaculateness of church hymns, and the soul-stirring power of devotional music, Ana Roxanne makes incredibly intimate pieces of music that combine meditative drone, calming ambient soundscapes, and angelic vocals.",,https://www.last.fm/music/ana+roxanne,ANA ROXANNE
Andrew Maxwell Morris,https://www.instagram.com/andrewmmorris/,MANDALA STAGE,THURSDAY,13:00 - 14:00,,,https://www.last.fm/music/Andrew+Maxwell+Morris,ANDREW MAXWELL MORRIS
Andy Blake,,STONEBRIDGE BAR,SUNDAY,22:00 - 23:00,,d2f481be-bf70-4553-88f7-cb8f3e855e5f,https://www.last.fm/music/Andy+Blake,ANDY BLAKE
Andy C,https://www.instagram.com/andyc_ramagram,ARCADIA,SUNDAY,01:30 - 02:30,,ec853694-30a1-4c7e-84e6-4ca87ee3c314,https://www.last.fm/music/Andy+C,ANDY C
Tonn Piper,https://www.instagram.com/andyc_ramagram,ARCADIA,SUNDAY,01:30 - 02:30,,,https://www.last.fm/music/Tonn+Piper,TONN PIPER
Andy Cato,https://www.instagram.com/spookycashcash/?ref=wa-cube https://www.instagram.com/groovearmada/,THE BUG,SUNDAY,17:00 - 18:00,,15649f44-ae4f-40d6-857e-820db654f1ea,https://www.last.fm/music/Andy+Cato,ANDY CATO
Angel D’Lite,https://www.instagram.com/angel_d_lite/,ARRIVALS,SATURDAY,04:00 - 05:00,,,https://www.last.fm/music/Angel+D%E2%80%99Lite,ANGEL D’LITE
Angie McMahon,https://www.instagram.com/angiemcmahon/?hl=en,ACOUSTIC STAGE,FRIDAY,13:00 - 13:40,Assured Australian singer songwriter with a bittersweet line in melancholy underpinning her storylines.,,https://www.last.fm/music/Angie+McMahon,ANGIE MCMAHON
Anish Kumar,https://www.instagram.com/anishkumaruk/,ARRIVALS,SUNDAY,00:00 - 01:00,,,https://www.last.fm/music/Anish+Kumar,ANISH KUMAR
Anna Prior,https://www.instagram.com/annaprior,SCISSORS,FRIDAY,03:30 - 04:30,,,https://www.last.fm/music/Anna+Prior,ANNA PRIOR
Anna Wall,,ASSEMBLY,SUNDAY,12:00 - 14:00,The new Fabric London resident back to back with Bobby kicking off this Fabric anniversary.,,https://www.last.fm/music/Anna+Wall,ANNA WALL
Anne-Marie,http://iamannemarie.com/,OTHER STAGE,FRIDAY,18:45 - 19:45,The wonderfully self-deprecating R&B dance pop star and highlight of The Voice.,,https://www.last.fm/music/Anne-Marie,ANNE-MARIE
Scarlett O’Malley,,STONEBRIDGE BAR,FRIDAY,19:00 - 00:00,,,https://www.last.fm/music/Scarlett+O%E2%80%99Malley,SCARLETT O’MALLEY
Annie Mac,,STONEBRIDGE BAR,FRIDAY,19:00 - 00:00,,573f2d10-82c2-43f0-8726-d560c82eb430,https://www.last.fm/music/Annie+Mac,ANNIE MAC
Anolah,https://www.instagram.com/anolahandthebonez,BIMBLE INN,FRIDAY,15:45 - 16:30,,,https://www.last.fm/music/Anolah,ANOLAH
The Bonez,https://www.instagram.com/anolahandthebonez,BIMBLE INN,FRIDAY,15:45 - 16:30,,,https://www.last.fm/music/The+Bonez,THE BONEZ
ANOTR,,LEVELS,FRIDAY,21:00 - 22:30,"Blending, mixing, and compiling music into something you’ve never heard before while redefining house music.",,https://www.last.fm/music/ANOTR,ANOTR
Antikvariniai Kaspirovskio Dantys,https://antikvariniaikaspirovskiodantys.lt/,TOAD HALL,SATURDAY,00:30 - 01:30,,,https://www.last.fm/music/Antikvariniai+Kaspirovskio+Dantys,ANTIKVARINIAI KASPIROVSKIO DANTYS
Antony Szmierek,,BBC MUSIC INTRODUCING,SUNDAY,17:30 - 18:00,"Boasting a hip hop flow with his trademark, dynamic lyricism, an indie hip hop spoken wordsmith and champion of vocabulary.",,https://www.last.fm/music/Antony+Szmierek,ANTONY SZMIEREK
Apiento,,FIRMLY ROOTED,FRIDAY,00:00 - 01:00,Test Pressing blogger and esoteric DJ.,,https://www.last.fm/music/Apiento,APIENTO
Arcadia,,ARCADIA,FRIDAY,23:30 - 23:40,,6a2fc6d1-cea8-4732-a711-7966fb49a29e,https://www.last.fm/music/Arcadia,ARCADIA
Area 51,https://www.area51.co,OUTSIDE CIRCUS STAGE,FRIDAY,00:37 - 00:49,,52b4cc54-2077-44ea-90ea-a10d380108aa,https://www.last.fm/music/Area+51,AREA 51
Arielle Free,,LEVELS,SATURDAY,16:30 - 18:00,Radio 1 DJ and Love Island Morning After host.,,https://www.last.fm/music/Arielle+Free,ARIELLE FREE
Aries,https://www.instagram.com/aries_jungle?igsh=mwhxczq5zmq5bhpxmg==,THE SALON CAROUSEL,FRIDAY,02:00 - 03:00,,8570780a-c1f5-442b-8d88-d3907aaa2536,https://www.last.fm/music/Aries,ARIES
Arlo,,LEVELS,SATURDAY,12:00 - 13:30,Arlo’s drum and bass colliding with Lulah’s electronic breaks.,b3911325-ae55-4131-943f-cbd9027e0040,https://www.last.fm/music/Arlo,ARLO
Lulah Francs,,LEVELS,SATURDAY,12:00 - 13:30,Arlo’s drum and bass colliding with Lulah’s electronic breaks.,,https://www.last.fm/music/Lulah+Francs,LULAH FRANCS
Arlo Parks,https://www.arloparksofficial.com/,WOODSIES,FRIDAY,18:00 - 19:00,Award-winning poetic storytelling with an emotional resonance that’s unflinchingly sincere and personal.,,https://www.last.fm/music/Arlo+Parks,ARLO PARKS
Arooj Aftab,https://www.aroojaftab.com/,THE PARK STAGE,SATURDAY,16:30 - 17:30,Gorgeous Urdu-infused dream pop with an intriguing mix of instruments from this Pakistani vocalist.,12d0b276-b102-4779-ac35-6939c584d9da,https://www.last.fm/music/Arooj+Aftab,AROOJ AFTAB
Baalti,https://www.instagram.com/baalti.mp3/,WISHING WELL,SATURDAY,17:00 - 17:45,,,https://www.last.fm/music/Baalti,BAALTI
Jasmine Jethwa,https://www.instagram.com/jasminejethwa_/,WISHING WELL,SATURDAY,13:45 - 14:15,,,https://www.last.fm/music/Jasmine+Jethwa,JASMINE JETHWA
Shivum Sharma,https://www.instagram.com/s.hivum/,WISHING WELL,SATURDAY,13:00 - 13:30,,a907e769-14e1-497d-8d4b-1a0f50c06593,https://www.last.fm/music/Shivum+Sharma,SHIVUM SHARMA
Tara Lily,https://www.instagram.com/taralilymood/,WISHING WELL,SATURDAY,14:30 - 15:00,,,https://www.last.fm/music/Tara+Lily,TARA LILY
Ustad Noor Bakhsh,https://www.instagram.com/noorbenju/,WISHING WELL,SATURDAY,15:15 - 16:45,,,https://www.last.fm/music/Ustad+Noor+Bakhsh,USTAD NOOR BAKHSH
Artemis,,THE TEMPLE,SATURDAY,23:00 - 00:00,,714a9c41-1525-40b7-9ee1-34bba8855659,https://www.last.fm/music/Artemis,ARTEMIS
Ruthless,,THE TEMPLE,SATURDAY,23:00 - 00:00,,5f3401a0-9161-4cd5-93f4-01aaac1535e1,https://www.last.fm/music/Ruthless,RUTHLESS
arXx,https://www.instagram.com/fulumusic,GREENPEACE,THURSDAY,13:45 - 14:30,,,https://www.last.fm/music/arXx,ARXX
Ash Mandrake,https://www.youtube.com/@ashmandrake3465,MANDALA STAGE,THURSDAY,14:30 - 15:30,,,https://www.last.fm/music/Ash+Mandrake,ASH MANDRAKE
Jenny Bliss,https://www.youtube.com/@ashmandrake3465,MANDALA STAGE,THURSDAY,14:30 - 15:30,,06eb8b4a-8753-4b8c-9cd0-e60f27b66f51,https://www.last.fm/music/Jenny+Bliss,JENNY BLISS
Asha Gold,https://www.instagram.com/ashagoldmusic/,BREAD AND ROSES,SUNDAY,13:00 - 14:00,,,https://www.last.fm/music/Asha+Gold,ASHA GOLD
Asha Puthli,https://www.redbullmusicacademy.com/lectures/asha-puthli,WEST HOLTS STAGE,FRIDAY,12:30 - 13:30,The queen of cosmic disco makes a rare live appearance sparked by the success of a new album showcasing remixes of classic cuts like ‘Space Talk’ and ‘Right Down Here’.,6bea93d9-08e8-40af-974e-b7d066b2e0fb,https://www.last.fm/music/Asha+Puthli,ASHA PUTHLI
Born On Road,https://bornonroad.com/,FLYING BUS,THURSDAY,22:30 - 00:00,,,https://www.last.fm/music/Born+On+Road,BORN ON ROAD
fftp,http://fftpfacebook.com/fftp2020/?locale=en_gb,FLYING BUS,THURSDAY,20:45 - 21:20,,,https://www.last.fm/music/fftp,FFTP
Solly,,FLYING BUS,THURSDAY,20:10 - 20:20,,,https://www.last.fm/music/Solly,SOLLY
Sugar Shane,https://youtube.com/@sugarshane_1,FLYING BUS,THURSDAY,21:50 - 22:30,,,https://www.last.fm/music/Sugar+Shane,SUGAR SHANE
Thomas McCarthy,http://music – thomas mccarthy,FLYING BUS,THURSDAY,20:20 - 20:45,,,https://www.last.fm/music/Thomas+McCarthy,THOMAS MCCARTHY
Aidan,,FLYING BUS,THURSDAY,21:35 - 21:50,,e85bb956-d5e8-4817-8425-7ad756755440,https://www.last.fm/music/Aidan,AIDAN
Luca,,FLYING BUS,THURSDAY,21:35 - 21:50,,e814ffd9-258c-4fe8-8c53-781e41a9c035,https://www.last.fm/music/Luca,LUCA
"Atki2, Dub Boy",https://www.instagram.com/jonesy_wales_music/. https://www.instagram.com/tim_dub_boy/. https://www.instagram.com/sam_atki2/,BABYLON UPRISING,SUNDAY,17:00 - 19:00,,,"https://www.last.fm/music/Atki2,+Dub+Boy","ATKI2, DUB BOY"
Jonesy Wales,https://www.instagram.com/jonesy_wales_music/. https://www.instagram.com/tim_dub_boy/. https://www.instagram.com/sam_atki2/,BABYLON UPRISING,SUNDAY,17:00 - 19:00,,,https://www.last.fm/music/Jonesy+Wales,JONESY WALES
Atki2,https://www.instagram.com/jonesy_wales_music/. https://www.instagram.com/tim_dub_boy/. https://www.instagram.com/sam_atki2/,BABYLON UPRISING,SUNDAY,17:00 - 19:00,,63111126-00cd-4eef-9f0f-671bd3e099bd,https://www.last.fm/music/Atki2,ATKI2
Dub Boy,https://www.instagram.com/jonesy_wales_music/. https://www.instagram.com/tim_dub_boy/. https://www.instagram.com/sam_atki2/,BABYLON UPRISING,SUNDAY,17:00 - 19:00,,,https://www.last.fm/music/Dub+Boy,DUB BOY
AUGUST CHARLES,,BBC MUSIC INTRODUCING,SATURDAY,13:30 - 14:00,"Alt-Soul singer born in Ndola, Zambia influenced by Frank Ocean and Amy Winehouse.",,https://www.last.fm/music/AUGUST+CHARLES,AUGUST CHARLES
Chakra Sounds,,KINETIC,THURSDAY,16:00 - 17:30,,,https://www.last.fm/music/Chakra+Sounds,CHAKRA SOUNDS
Aurora Halal,,ASSEMBLY,SUNDAY,23:30 - 01:00,"Producer, DJ and creator of The Mutual Dreaming Party with a hazy sensuality and a metallic dancefloor intensity.",75823c6e-aa7c-40cd-a1b7-441b705750bf,https://www.last.fm/music/Aurora+Halal,AURORA HALAL
Aurora,https://www.aurora-music.com/,THE PARK STAGE,FRIDAY,19:30 - 20:30,"Norwegian singer, songwriter, record producer and mood capturing radio DJ with a dramatic euphoric sound.",,https://www.last.fm/music/Aurora,AURORA
Avril Lavigne,http://www.avrillavigne.com/,OTHER STAGE,SUNDAY,18:00 - 19:00,Precursor of the pop punk wave of the early 2000s introducing a whole new generation to teenage angst and how to use it.,0103c1cc-4a09-4a5d-a344-56ad99a77193,https://www.last.fm/music/Avril+Lavigne,AVRIL LAVIGNE
Axel Boman,https://www.instagram.com/axelboman/?hl=en,SAN REMO,SUNDAY,23:00 - 00:30,,82db10b4-03dc-4bdb-be26-053e3c0ccc3c,https://www.last.fm/music/Axel+Boman,AXEL BOMAN
Ayra Starr,https://www.ayrastarr.com/,PYRAMID STAGE,SATURDAY,13:15 - 14:00,"Afropop meets R&B through the dynamic vocal range of this soulful, sound-shifting singer songwriter.",,https://www.last.fm/music/Ayra+Starr,AYRA STARR
AÆE,https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,01:00 - 02:45,,,https://www.last.fm/music/A%C3%86E,AÆE
Dismantle,https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,01:00 - 02:45,,3585eb58-cb27-42d1-a94a-9508260be7f0,https://www.last.fm/music/Dismantle,DISMANTLE
Fonzo,https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,01:00 - 02:45,,,https://www.last.fm/music/Fonzo,FONZO
Sam Interface,https://www.instagram.com/doubleadoublee/,BABYLON UPRISING,THURSDAY,01:00 - 02:45,,,https://www.last.fm/music/Sam+Interface,SAM INTERFACE
Baby Queen,https://www.babyqueen.world,AVALON STAGE,SUNDAY,18:20 - 19:20,Pop hooks with punky aggression and sharp-edged cynicism creating alternative pop songs from this rising star.,,https://www.last.fm/music/Baby+Queen,BABY QUEEN
GUCCI GIRL,https://www.instagram.com/backtomineofficial/,PLATFORM 23,FRIDAY,13:00 - 17:00,,,https://www.last.fm/music/GUCCI+GIRL,GUCCI GIRL
Sarah Story,https://www.instagram.com/backtomineofficial/,PLATFORM 23,FRIDAY,13:00 - 17:00,,,https://www.last.fm/music/Sarah+Story,SARAH STORY
Badger,https://www.instagram.com/badger_music_maker/?hl=en,THE BUG,FRIDAY,21:00 - 22:00,,c59e99a4-4256-4e5f-811f-6305b6a42df8,https://www.last.fm/music/Badger,BADGER
Baggy Mondays,https://twitter.com/baggymondays,STONEBRIDGE BAR,THURSDAY,15:00 - 16:30,The legendary Manchester-flavoured indie-disco is back to kickstart another Glastonbury with a Thursday afternoon session. Get there early and bring your best singing voice!,,https://www.last.fm/music/Baggy+Mondays,BAGGY MONDAYS
Bakey,,FIRMLY ROOTED,SATURDAY,22:00 - 23:00,"With a distinctive fusion of sultry melodies, complex drum programming, and pounding beats.",,https://www.last.fm/music/Bakey,BAKEY
Who Knew,,FIRMLY ROOTED,SATURDAY,22:00 - 23:00,"With a distinctive fusion of sultry melodies, complex drum programming, and pounding beats.",820e8189-a6a4-4b3e-8e81-bf8d4820d21f,https://www.last.fm/music/Who+Knew,WHO KNEW
Ballerinas,https://www.danielgoncalves.eu,OUTSIDE CIRCUS STAGE,FRIDAY,19:23 - 19:53,,,https://www.last.fm/music/Ballerinas,BALLERINAS
Balming Tiger,https://balmingtiger.com,WEST HOLTS STAGE,SUNDAY,14:00 - 15:00,Shunning the slickness of their more mainstream K-pop rivals this tumultuous indie hip hop collective deliver an eclectic and irresistible live set.,,https://www.last.fm/music/Balming+Tiger,BALMING TIGER
Bandyt,,FIRMLY ROOTED,SUNDAY,12:00 - 13:00,"The Bristol celebration of art, music and dacne takes over.",,https://www.last.fm/music/Bandyt,BANDYT
BANYAH,https://banyahmoosic.bandcamp.com,CROISSANT NEUF BANDSTAND,THURSDAY,19:00 - 20:00,,,https://www.last.fm/music/BANYAH,BANYAH
Bar Italia,https://baritaliaa.com/,THE PARK STAGE,SATURDAY,14:00 - 14:45,Mysterious trio whose intricate guitar patterns resonate behind Christante’s earnest revelations and edgy prose.,,https://www.last.fm/music/Bar+Italia,BAR ITALIA
Barefoot Bandit,https://www.wearetbb.com/,LUNCHED OUT LIZARDS,SATURDAY,23:00 - 00:00,,,https://www.last.fm/music/Barefoot+Bandit,BAREFOOT BANDIT
Barry Can't Swim,https://barrycantswim.com/,THE PARK STAGE,FRIDAY,14:00 - 14:45,A genre-splicing electronic soundscape skipping from Afrobeat to house to create an uplifting pocket symphony of sound.,,https://www.last.fm/music/Barry+Can%27t+Swim,BARRY CAN'T SWIM
Barry Cant Swim,https://barrycantswim.com/,ARCADIA,SATURDAY,22:35 - 23:35,,,https://www.last.fm/music/Barry+Cant+Swim,BARRY CANT SWIM
Bashkka,https://ra.co/dj/bashkka,GENOSYS,FRIDAY,01:30 - 03:30,,,https://www.last.fm/music/Bashkka,BASHKKA
Bashment Bish,,KINETIC,SUNDAY,21:00 - 22:30,,,https://www.last.fm/music/Bashment+Bish,BASHMENT BISH
Baskery,https://baskeryband.com,CROISSANT NEUF,SATURDAY,14:30 - 15:30,,99073b85-0177-477a-bbd6-45e6c89c7ceb,https://www.last.fm/music/Baskery,BASKERY
Bassie Gracie,https://www.instagram.com/bassiegracie/,GREENPEACE,WEDNESDAY,16:00 - 16:25,,,https://www.last.fm/music/Bassie+Gracie,BASSIE GRACIE
Bastard Love,https://soundcloud.com/donoband,STRUMMERVILLE,SUNDAY,22:00 - 00:00,,,https://www.last.fm/music/Bastard+Love,BASTARD LOVE
Bau Cat,https://www.youtube.com/@baucat,TOAD HALL,SUNDAY,21:00 - 22:00,,,https://www.last.fm/music/Bau+Cat,BAU CAT
Baxter Dury,https://www.instagram.com/baxterdury/?hl=en,THE PARK STAGE,SUNDAY,16:30 - 17:30,"Sardonic raconteur spinning spontaneous sad and funny yarns of everyday life, love and London.",50df8a7c-ca0b-47c8-98e5-d27a57e04073,https://www.last.fm/music/Baxter+Dury,BAXTER DURY
Bazzookas,http://www.bazzookas.com,PEACE STAGE,THURSDAY,18:30 - 19:15,,e3b7d3f0-8221-43aa-9005-04209841b913,https://www.last.fm/music/Bazzookas,BAZZOOKAS
BC Camplight,https://twitter.com/bccamplight,AVALON STAGE,SATURDAY,18:40 - 19:40,Critically-acclaimed singer-songwriter with a heady mix of lustrous hooks and thematic moods bursting with sophisticated songs of fractured paranoia.,,https://www.last.fm/music/BC+Camplight,BC CAMPLIGHT
Bea Brennan,https://old-technology.bandcamp.com/album/jagged-high  https://bio.site/bleep43,TREE STAGE,SUNDAY,00:10 - 01:10,"Bea Brennan (Bleep43, Old Technology) presents her new quadraphonic, ambient sound work Thought Forms, with visual accompaniment provided by artist Damien Roach (555-5555)",,https://www.last.fm/music/Bea+Brennan,BEA BRENNAN
Beans On Toast,https://www.instagram.com/beans.on.toast/,PEACE STAGE,THURSDAY,17:00 - 17:30,,d60583e5-3bb9-4b00-acd6-26e7a6066f3a,https://www.last.fm/music/Beans+On+Toast,BEANS ON TOAST
Rogue Wave,https://www.thebeatboxcollective.com/,THE HIVE,FRIDAY,13:10 - 13:55,,6aa55ee1-4c46-4f7c-9a6d-5051dfe2c06d,https://www.last.fm/music/Rogue+Wave,ROGUE WAVE
Bel Cobain,https://www.instagram.com/bel.cobain,STRUMMERVILLE,SUNDAY,19:00 - 19:40,,,https://www.last.fm/music/Bel+Cobain,BEL COBAIN
Ben Hemming,https://benhemming.co.uk,CROISSANT NEUF BANDSTAND,THURSDAY,16:00 - 17:00,,,https://www.last.fm/music/Ben+Hemming,BEN HEMMING
Ben Hemsley,,LEVELS,SATURDAY,01:30 - 03:00,"With alluring melodies and flavours of old school rave nostalgia, a hot ticket in UK house and techno.",,https://www.last.fm/music/Ben+Hemsley,BEN HEMSLEY
Benji B,https://www.instagram.com/benjib/,PLATFORM 23,FRIDAY,04:00 - 05:00,,628ad709-95c6-4edf-8cca-7e9c261ed675,https://www.last.fm/music/Benji+B,BENJI B
Benny L,,FIRMLY ROOTED,SUNDAY,20:00 - 21:00,Randall-schooled DJ and producer turns up the bass.,,https://www.last.fm/music/Benny+L,BENNY L
