title,url,stage,day,time,mbid,lfm_url,orig_name
A For Alpha,,LEVELS,SATURDAY,13:30 - 15:00,"Electronic music luminary drawing inspiration from the 90s underground scene, blending reworked classics with contemporary productions.",,https://www.last.fm/music/A+For+Alpha,A FOR ALPHA
A Guy Called Gerald,https://www.instagram.com/aguycalledgerald/,THE RUM SHACK,SUNDAY,01:00 - 02:00,,b343730d-a34e-44d5-9191-a83f00231716,https://www.last.fm/music/A+Guy+Called+Gerald,A GUY CALLED GERALD
The Jungle Drummer,https://www.instagram.com/aguycalledgerald/,THE RUM SHACK,SUNDAY,01:00 - 02:00,,,https://www.last.fm/music/The+Jungle+Drummer,THE JUNGLE DRUMMER
A Little Sound,https://www.instagram.com/alittlesounduk,ARCADIA,SUNDAY,23:40 - 00:30,,,https://www.last.fm/music/A+Little+Sound,A LITTLE SOUND
A.K.D.,https://antikvariniaikaspirovskiodantys.lt,THE BANDSTAND,THURSDAY,00:00 - 01:00,,,https://www.last.fm/music/A.K.D.,A.K.D.
Acid Joe,,DELUXE DINER,THURSDAY,00:00 - 01:30,,,https://www.last.fm/music/Acid+Joe,ACID JOE
Adam Scott Glasspool,https://www.youtube.com/channel/ucjtkw4i_wtfdnagapjh5diw/playlists,MANDALA STAGE,THURSDAY,18:30 - 19:30,,,https://www.last.fm/music/Adam+Scott+Glasspool,ADAM SCOTT GLASSPOOL
Adam Shelton,https://ra.co/dj/adamshelton,IICON,THURSDAY,20:00 - 21:30,"Adam Shelton, Walsall-born, runs Below raves, One Records, Café Artum, and London’s Tantrum. Electro visionary launching Eon Records.",9cf89ec8-9e98-4d0a-a7f4-1a41fa45bfe6,https://www.last.fm/music/Adam+Shelton,ADAM SHELTON
Adelphi Music Factory,https://www.instagram.com/adelphimusicfactory,GREENPEACE,THURSDAY,00:00 - 01:30,,,https://www.last.fm/music/Adelphi+Music+Factory,ADELPHI MUSIC FACTORY
ADMNTi,,GLADE DOME,SATURDAY,16:30 - 18:00,"ADMNTi has established himself as one of the tastemakers of his generation. FUSE and its offshoot INFUSE, Half Baked and Beeyou are some of the brands he has been known to frequent. Jack lings versatility and commitment to digging deep into the records of the past and keeping an ear to the ground.",,https://www.last.fm/music/ADMNTi,ADMNTI
Jack Ling,,GLADE DOME,SATURDAY,16:30 - 18:00,"ADMNTi has established himself as one of the tastemakers of his generation. FUSE and its offshoot INFUSE, Half Baked and Beeyou are some of the brands he has been known to frequent. Jack lings versatility and commitment to digging deep into the records of the past and keeping an ear to the ground.",,https://www.last.fm/music/Jack+Ling,JACK LING
Afriquoi,https://earth-agency.com/artist/afriquoi/,PEACE STAGE,FRIDAY,02:45 - 03:30,,,https://www.last.fm/music/Afriquoi,AFRIQUOI
AFRODEUTSCHE,https://ra.co/dj/afrodeutsche,IICON,SATURDAY,00:30 - 02:00,"AFRODEUTSCHE, Henrietta Smith-Rolla, Manchester-based DJ/producer. Blends Afrofuturistic electro, techno, classical, Detroit house. Drexciyan and Underground Resistance-inspired.",,https://www.last.fm/music/AFRODEUTSCHE,AFRODEUTSCHE
Ahadadream,,LONELY HEARTS CLUB,THURSDAY,01:00 - 03:00,Producer and DJ Nikki Nair’s hybridized dance music meets Ahadadream’s percussive gems and Rags’ hip hop sounds.,,https://www.last.fm/music/Ahadadream,AHADADREAM
Nikki Nair,,LONELY HEARTS CLUB,THURSDAY,01:00 - 03:00,Producer and DJ Nikki Nair’s hybridized dance music meets Ahadadream’s percussive gems and Rags’ hip hop sounds.,,https://www.last.fm/music/Nikki+Nair,NIKKI NAIR
Raji Rags,,LONELY HEARTS CLUB,THURSDAY,01:00 - 03:00,Producer and DJ Nikki Nair’s hybridized dance music meets Ahadadream’s percussive gems and Rags’ hip hop sounds.,,https://www.last.fm/music/Raji+Rags,RAJI RAGS
