title,url,stage,day,time,mbid,lfm_url,orig_name
Andy Quick,http://www.andyquickmusic.com,THE RABBIT HOLE,FRIDAY,21:30 - 22:30,,https://www.last.fm/music/Andy+Quick,ANDY QUICK
Angel Olsen,https://angelolsen.com/,THE PARK STAGE,FRIDAY,18:00 - 19:00,185527bf-c293-4c24-8213-ed98fb8976be,https://www.last.fm/music/Angel+Olsen,ANGEL OLSEN
Ani DiFranco,https://www.righteousbabe.com/blogs/ani-difranco-news,ACOUSTIC STAGE,SUNDAY,21:30 - 23:00,a7bdc71f-697a-45d9-92b2-a01fbbe50272,https://www.last.fm/music/Ani+DiFranco,ANI DIFRANCO
Anna Straker,,SONIC,SATURDAY,14:30 - 16:00,,https://www.last.fm/music/Anna+Straker,ANNA STRAKER
Annie Mac,http://www.anniemacpresents.com/amp2016/,JOHN PEEL STAGE,FRIDAY,22:30 - 23:45,573f2d10-82c2-43f0-8726-d560c82eb430,https://www.last.fm/music/Annie+Mac,ANNIE MAC
Aries,,SALON CAROUSEL,THURSDAY,20:00 - 21:00,8570780a-c1f5-442b-8d88-d3907aaa2536,https://www.last.fm/music/Aries,ARIES
PEGGY GOU,,WOW!,FRIDAY,13:00 - 18:00,,https://www.last.fm/music/PEGGY+GOU,PEGGY GOU
Jackmaster,,WOW!,FRIDAY,13:00 - 18:00,68c4ce01-99ff-4a51-b839-54a15aa81a9a,https://www.last.fm/music/Jackmaster,JACKMASTER
Midland,,WOW!,FRIDAY,13:00 - 18:00,35fddf9e-01f6-49af-8d03-b841dda89995,https://www.last.fm/music/Midland,MIDLAND
Artwork,http://www.sethtroxler.com,LOVEBULLETS,SUNDAY,22:30 - 00:30,ae101944-f854-4e59-b5e8-04bf4e351b8e,https://www.last.fm/music/Artwork,ARTWORK
Ary,,PUSSY PARLURE,FRIDAY,15:00 - 16:00,,https://www.last.fm/music/Ary,ARY
Ata Kak,,WEST HOLTS STAGE,FRIDAY,14:45 - 15:45,85624ba0-cbb1-47ed-97b5-6676813edac8,https://www.last.fm/music/Ata+Kak,ATA KAK
Atlas Wynd,,CN BANDSTAND,WEDNESDAY,12:00 - 12:45,,https://www.last.fm/music/Atlas+Wynd,ATLAS WYND
ATTEK,,LONDON UNDERGROUND,SATURDAY,23:30 - 01:00,,https://www.last.fm/music/ATTEK,ATTEK
Aurbs,http://www.punksmusic.com,JAGZ'S ACID LOUNGE,SUNDAY,23:30 - 01:00,,https://www.last.fm/music/Aurbs,AURBS
Flowstate,http://www.punksmusic.com,JAGZ'S ACID LOUNGE,SUNDAY,23:30 - 01:00,,https://www.last.fm/music/Flowstate,FLOWSTATE
Aurora Dawn,,THE SPIKE,THURSDAY,20:30 - 21:45,,https://www.last.fm/music/Aurora+Dawn,AURORA DAWN
Screamin Skulls,,THE SPIKE,THURSDAY,20:30 - 21:45,,https://www.last.fm/music/Screamin+Skulls,SCREAMIN SKULLS
avelino,http://officialavelino.com/,SONIC,FRIDAY,14:40 - 15:15,,https://www.last.fm/music/avelino,AVELINO
Axel Boy,,CLASH,SATURDAY,21:00 - 22:00,,https://www.last.fm/music/Axel+Boy,AXEL BOY
Back Before Breakfast,,THE SPIKE,FRIDAY,16:15 - 17:15,,https://www.last.fm/music/Back+Before+Breakfast,BACK BEFORE BREAKFAST
Backyard Rhythm Orchestra,https://byroband.bandcamp.com/,SMALL WORLD STAGE,FRIDAY,02:00 - 03:00,,https://www.last.fm/music/Backyard+Rhythm+Orchestra,BACKYARD RHYTHM ORCHESTRA
BADBADNOTGOOD,http://badbadnotgood.com/,WEST HOLTS STAGE,SATURDAY,16:00 - 17:00,754294d5-d7d2-4ea2-8184-1dcaaf55a56f,https://www.last.fm/music/BADBADNOTGOOD,BADBADNOTGOOD
Baloji,http://www.baloji.com/,GULLY,SATURDAY,23:15 - 00:30,5635fc2f-c74f-4506-887e-ccbcc6bb66dc,https://www.last.fm/music/Baloji,BALOJI
Banco De Gaia,http://HTTP://BANCO.CO.UK/,TOAD HALL,SATURDAY,23:10 - 23:55,70cc316b-37a3-4174-bdc0-f546b3b3d03c,https://www.last.fm/music/Banco+De+Gaia,BANCO DE GAIA
Barely Legal,,THE BLUES,SATURDAY,19:00 - 20:00,73697684-f56d-45be-8796-dd2cb52412cb,https://www.last.fm/music/Barely+Legal,BARELY LEGAL
Barry Gibb,http://www.barrygibb.com/,PYRAMID STAGE,SUNDAY,16:00 - 17:15,b02e4ca5-312a-4d2e-b087-30db9d5ec579,https://www.last.fm/music/Barry+Gibb,BARRY GIBB
Bas Ibellini,,THE RABBIT HOLE'S FUNKINGHAM PALACE,SATURDAY,01:00 - 02:30,,https://www.last.fm/music/Bas+Ibellini,BAS IBELLINI
Bashment Bish,http://www.bashmentbish.co.uk,THE CAVE,FRIDAY,22:00 - 00:00,,https://www.last.fm/music/Bashment+Bish,BASHMENT BISH
Beans On Toast,http://www.beansontoastmusic.com,LEFT FIELD,SATURDAY,19:30 - 20:30,d60583e5-3bb9-4b00-acd6-26e7a6066f3a,https://www.last.fm/music/Beans+On+Toast,BEANS ON TOAST
beating heart,http://beatingheartproject.com,THE BEAT HOTEL,WEDNESDAY,18:00 - 19:30,,https://www.last.fm/music/beating+heart,BEATING HEART
Benga,,THE GAS TOWER,SATURDAY,03:00 - 04:00,d3ba1c50-d403-40df-8eac-80d74551a7e3,https://www.last.fm/music/Benga,BENGA
Benny Page,,SALON CAROUSEL,SUNDAY,03:00 - 04:00,caa877e4-8918-46c9-aef4-30f9c91918d5,https://www.last.fm/music/Benny+Page,BENNY PAGE
Beoga,http://www.beogamusic.com/,ACOUSTIC STAGE,SUNDAY,13:35 - 14:15,36f002ea-56f2-4e6e-b67f-7d82c829b691,https://www.last.fm/music/Beoga,BEOGA
Bert Miller And The Animal Folk,http://HTTP://WWW.BERTMILLER.UK,TOAD HALL,WEDNESDAY,15:20 - 16:00,,https://www.last.fm/music/Bert+Miller+And+The+Animal+Folk,BERT MILLER AND THE ANIMAL FOLK
Bethia Beadman,http://bethiabeadman.com/,THE BANDSTAND,FRIDAY,15:05 - 15:45,,https://www.last.fm/music/Bethia+Beadman,BETHIA BEADMAN
Biffy Clyro,http://www.biffyclyro.com,PYRAMID STAGE,SUNDAY,19:30 - 20:45,892500b7-09a6-4049-ba92-2d192dd70563,https://www.last.fm/music/Biffy+Clyro,BIFFY CLYRO
Joe Solo,,LEFT FIELD,SUNDAY,15:00 - 16:30,,https://www.last.fm/music/Joe+Solo,JOE SOLO
Louise Distras,,LEFT FIELD,SUNDAY,15:00 - 16:30,e1954b9a-7a2d-483d-b9b1-4368b2838629,https://www.last.fm/music/Louise+Distras,LOUISE DISTRAS
Oh Pep!,,LEFT FIELD,SUNDAY,15:00 - 16:30,,https://www.last.fm/music/Oh+Pep%21,OH PEP!
Billy Bragg,,LEFT FIELD,SUNDAY,15:00 - 16:30,7cec4a03-0a83-4308-856a-afb8aa5db0fc,https://www.last.fm/music/Billy+Bragg,BILLY BRAGG
Zoe West,,LEFT FIELD,FRIDAY,15:00 - 16:30,,https://www.last.fm/music/Zoe+West,ZOE WEST
Paddy Nash,,LEFT FIELD,FRIDAY,15:00 - 16:30,,https://www.last.fm/music/Paddy+Nash,PADDY NASH
luke branch,,LEFT FIELD,FRIDAY,15:00 - 16:30,,https://www.last.fm/music/luke+branch,LUKE BRANCH
she drew the gun,,LEFT FIELD,SATURDAY,15:00 - 16:30,,https://www.last.fm/music/she+drew+the+gun,SHE DREW THE GUN
Steve Knightley,,LEFT FIELD,SATURDAY,15:00 - 16:30,a55de1a0-cde9-4db5-ae7b-fc24aa9ad685,https://www.last.fm/music/Steve+Knightley,STEVE KNIGHTLEY
Big Fish Little Fish,,STONEBRIDGE BAR,FRIDAY,13:00 - 15:00,,https://www.last.fm/music/Big+Fish+Little+Fish,BIG FISH LITTLE FISH
Big Narstie,,CLASH,FRIDAY,03:45 - 06:00,27d5e639-aa98-409e-a8c4-755cd43b305a,https://www.last.fm/music/Big+Narstie,BIG NARSTIE
DJ Target,,CLASH,FRIDAY,03:45 - 06:00,69cd8dbc-c81b-4288-bd85-ed91be862770,https://www.last.fm/music/DJ+Target,DJ TARGET
Rude Kid,,CLASH,FRIDAY,03:45 - 06:00,96d12a4c-5b78-4c2e-9775-83c468990d53,https://www.last.fm/music/Rude+Kid,RUDE KID
Izzie Gibbs,,CLASH,FRIDAY,03:45 - 06:00,,https://www.last.fm/music/Izzie+Gibbs,IZZIE GIBBS
Tremz,,CLASH,FRIDAY,03:45 - 06:00,,https://www.last.fm/music/Tremz,TREMZ
Big Tobz,,SONIC,FRIDAY,13:45 - 14:20,,https://www.last.fm/music/Big+Tobz,BIG TOBZ
Big Zuu,,THE BLUES,SATURDAY,20:00 - 20:30,,https://www.last.fm/music/Big+Zuu,BIG ZUU
Bill Brewster,,THE SPIKE,THURSDAY,00:00 - 01:45,18a0f9fb-bef4-4003-ba7f-8ad5b04de6c6,https://www.last.fm/music/Bill+Brewster,BILL BREWSTER
Bill Ferguson,,THE SUMMER HOUSE,FRIDAY,18:10 - 19:10,5a8cfc50-8ccd-4580-93eb-a0230b4e6ab0,https://www.last.fm/music/Bill+Ferguson,BILL FERGUSON
Billy Daniel Bunter,,BEZ'S FLYING BUS,FRIDAY,04:00 - 04:30,,https://www.last.fm/music/Billy+Daniel+Bunter,BILLY DANIEL BUNTER
