title,url,stage,day,time,description
A BAND CALLED BRIAN,https://www.thinkofasong.com/a-band-named-brian-epk/,THE BANDSTAND,SATURDAY,12:30 - 13:00,
A FOR ALPHA X ARLO,http://a for alpha (@aforalphaaa) | instagram,NOWHERE,FRIDAY,20:00 - 21:00,
A FOR ALPHA: SUPPER CLUB TAKEOVER,https://www.instagram.com/aforalphaaa/,BABYLON UPRISING,SATURDAY,18:00 - 19:00,
A LITTLE SOUND,,THE LONELY HEARTS CLUB,FRIDAY,22:30 - 23:30,Drum and bass singer/songwriter extending the sound.
A LITTLE SOUND,https://www.instagram.com/alittlesounduk/,THE TEMPLE,THURSDAY,22:30 - 23:15,
ABANDOMAN AKA ROB BRODERICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,FRIDAY,13:30 - 14:15,
ABANDOMAN AKA ROB BRODERICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,SATURDAY,14:05 - 14:50,
ABANDOMAN AKA ROB BRODERRICK,https://www.abandoman.com/,SENSATION SEEKERS STAGE,SUNDAY,14:05 - 14:50,
ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,SATURDAY,12:00 - 18:00,
ABLE MABLE (COMPERE),,SENSATION SEEKERS STAGE,SUNDAY,15:00 - 18:30,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,FRIDAY,00:25 - 00:33,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,FRIDAY,23:37 - 23:45,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,SATURDAY,00:24 - 00:32,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,SATURDAY,23:35 - 23:43,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,SUNDAY,00:51 - 00:57,
ABOVE AND BEYOND,,OUTSIDE CIRCUS STAGE,SUNDAY,00:26 - 00:34,
ABSOLUTE. B2B JODIE HARSH,,STONEBRIDGE BAR,THURSDAY,16:30 - 18:00,
ACOUSTIC JAM SESSION,,THE LIZARD STAGE,WEDNESDAY,23:00 - 02:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,WEDNESDAY,11:00 - 12:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,20:00 - 23:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,THURSDAY,11:00 - 12:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,FRIDAY,20:00 - 23:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,FRIDAY,11:00 - 11:50,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SATURDAY,20:30 - 23:00,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SATURDAY,11:00 - 11:50,
ACOUSTIC OPEN MIC,,CROISSANT NEUF BANDSTAND,SUNDAY,18:30 - 23:00,
"ACTIVISTS MASTERCLASS - JAMIE KELSEY FRY, A22 & LISA WINTERSTEIGER",http://making real change happen - a master class in successful activism,SPEAKERS FORUM,WEDNESDAY,17:00 - 18:00,
ACTRESS (LIVE),https://www.whoisactress.com/,IICON,FRIDAY,01:50 - 02:50,
ADAM HILLS,,CABARET,SATURDAY,19:30 - 20:00,
ADAM HUNT & LULU URQUART,http://breavers & rewilding,SPEAKERS FORUM,SUNDAY,12:00 - 13:00,
ADAM SCOTT GLASSPOOL,https://adamscottglasspool.bandcamp.com/album/asgkye,THE LIZARD STAGE,THURSDAY,19:00 - 20:00,
ADAM SCOTT GLASSPOOL,https://spoti.fi/40eblaf,MANDALA STAGE,FRIDAY,11:00 - 12:00,
ADAM SHELTON,https://ra.co/dj/adamshelton,IICON,THURSDAY,21:15 - 23:15,
ADG7,https://www.instagram.com/adg7_official/,WEST HOLTS STAGE,FRIDAY,14:30 - 15:30,Korean culture has blown up worldwide but ADG7 take a deeper dive into ancient Shamanistic tales delivered with huge style and humour.
ADWAITH,https://www.adwaithmusic.com/,THE PARK STAGE,FRIDAY,11:30 - 12:10,Welsh indie rock outfit who tore up the BBC Music Introducing stage last year and bring their reactive sounds to a bigger audience.
ADWAITH,https://adwaithmusic.com,CROISSANT NEUF,SATURDAY,18:00 - 19:00,
AFRICAN DANCE CLASS WITH PENNY AVERY,https://www.facebook.com/penny.avery.353,HUMBLEWELL ACTIVE PLATFORM,THURSDAY,13:30 - 14:30,
AFRICAN DANCE CLASS WITH PENNY AVERY,https://www.facebook.com/penny.avery.353,HUMBLEWELL ACTIVE PLATFORM,FRIDAY,13:30 - 14:30,
AFRICAN DANCE CLASS WITH PENNY AVERY,https://www.facebook.com/penny.avery.353,HUMBLEWELL ACTIVE PLATFORM,SATURDAY,13:30 - 14:30,
AFRICAN DANCE,https://www.facebook.com/penny.avery.353,HUMBLEWELL ACTIVE PLATFORM,SUNDAY,13:00 - 14:00,
