title,url,stage,day,time,description
AFRICAN HEAD CHARGE FEAT GAUDI,https://linktr.ee/africanheadcharge,GLADE,SATURDAY,16:00 - 17:10,"Long-running collaboration between master Jamaican percussionist Bonjo Iyabinghi L Noah and English dub producer Adrian Sherwood, a unique blend of polyrhythmic outernational sounds."
"AFT RAPS: BLACKSMITH, CARASEL, FRENIC",https://aftrecords.com/,BLIND TIGER,THURSDAY,21:00 - 22:00,
"AFT RECORDS: KELVIN 373, DUBBZ, MOVE, DEVIANT, CHANGING WAYS, CARASEL, KAYDAN, SAVVY B + MORE TBA",https://aftrecords.com/,BLIND TIGER,SUNDAY,02:00 - 05:00,
AHADADREAM,https://www.instagram.com/ahadadreamx/,NOWHERE,FRIDAY,14:00 - 15:00,
"AI, DEEPFAKE AND SYNTHETIC MEDIA - Q&A WITH ERIC DRASS AKA SHARDCORE",https://www.shardcore.org/spx/,LABORATORY STAGE,FRIDAY,14:15 - 14:45,
AILBHE REDDY,https://ailbhereddy.com,CROISSANT NEUF,SATURDAY,15:00 - 16:00,
AITCH,https://www.aitchofficial.com/,PYRAMID STAGE,SATURDAY,16:00 - 17:00,"UK rapper who’s continually charted with his own tunes as well as teaming up for singles with Anne Marie, Ed Sheeran, Ashanti and ArrDee last year."
AK SPORTS,https://www.instagram.com/aksportsdj/,THE TEMPLE,SATURDAY,04:30 - 06:00,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,THURSDAY,13:45 - 14:15,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,FRIDAY,13:10 - 13:40,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,THE PAVEMENT,SATURDAY,16:40 - 17:10,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,SENSATION SEEKERS STAGE,FRIDAY,15:30 - 16:00,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,SENSATION SEEKERS STAGE,SATURDAY,13:30 - 14:00,
AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,SENSATION SEEKERS STAGE,SUNDAY,12:30 - 13:00,
AL LEWIS,https://www.allewismusic.com/,ACOUSTIC STAGE,FRIDAY,11:30 - 12:00,Award winning bilingual singer-songwriter from Wales with a penchant for choral folk and a fine line in thought provoking lyrics.
ALABASTER DEPLUME,https://www.instagram.com/alabaster_deplume/?hl=en,THE PARK STAGE,FRIDAY,12:45 - 13:30,"Activist, composer and songwriter with a spiritual jazz vibe to underpin his outspoken poetry."
ALEX HALL,https://alexhallmusic.co.uk/,THE LIZARD STAGE,SATURDAY,19:00 - 20:00,
ALEX HALL,https://www.alexhallmusic.co.uk/,BREAD AND ROSES,THURSDAY,12:00 - 12:40,
ALEX REX,https://alexrex.bandcamp.com/,THE BANDSTAND,SATURDAY,16:00 - 16:40,
ALEXISITRY X WONKA,https://www.instagram.com/alexisitry/,NOWHERE,FRIDAY,19:00 - 20:00,
ALIJI,https://www.facebook.com/alijimusic/,GLADE DOME,SUNDAY,18:55 - 20:05,
ALISON GOLDFRAPP,https://www.goldfrapp.com/,THE PARK STAGE,SUNDAY,18:15 - 19:15,The electronic pop sensation now out on her own with her tribute to the dancefloor on just released album ‘The Love Invention’.
ALISTAIR BARRIE (COMPERE),http://www.alistairbarrie.com/,CABARET,FRIDAY,15:30 - 19:00,
ALISTAIR BARRIE (COMPERE),http://www.alistairbarrie.com/,CABARET,SATURDAY,15:30 - 19:00,
ALLISON RUSSELL,https://www.facebook.com/allisonrussellmusic/,ACOUSTIC STAGE,FRIDAY,12:10 - 12:40,"Poet, singer, songwriter, multi-instrumentalist, activist and co-founder of Our Native Daughters and Birds of Chicago with songs about deliverance and redemption."
ALMA TWIST,https://soundcloud.com/katrynaabel,THE LIZARD STAGE,SATURDAY,17:30 - 18:30,
ALPS 2,https://alps2.bandcamp.com/,STRUMMERVILLE,SATURDAY,22:30 - 00:00,
ALT BLK ERA (EARACHE RECORDS TAKEOVER),https://www.altblkera.com/,TRUTH STAGE,THURSDAY,02:30 - 03:00,
ALT-J,https://www.altjband.com/,THE PARK STAGE,SUNDAY,21:15 - 22:30,"Sonically flawless, deep and emotional indie art rock from this UK trio whose fourth album ‘The Dream’ was unanimously acclaimed."
ALTAR X TEEZLE,https://www.instagram.com/t_for_teezle/,BABYLON UPRISING,FRIDAY,01:00 - 02:45,
ALTERN 8 (BLENDID TAKEOVER),https://www.altern8official.com/,CORNISH ARMS,SATURDAY,16:00 - 17:00,
ALTERN 8 B2B SHADOW CHILD,https://www.instagram.com/altern8official/,THE TEMPLE,FRIDAY,05:00 - 06:00,
ALTERN8 / MARK ARCHER,https://www.instagram.com/altern8official/,BABYLON UPRISING,SATURDAY,19:00 - 20:00,
ALYONA ALYONA,https://www.instagram.com/alyona.alyona.official/,THE RUM SHACK,THURSDAY,20:30 - 21:30,
AMA,https://amadj.co.uk/,GLADE DOME,THURSDAY,14:00 - 15:00,
AMA,https://www.instagram.com/amadjuk/,THE TEMPLE,SUNDAY,22:00 - 23:00,
AMADOU & MARIAM,https://www.instagram.com/amadouetmariam/,PYRAMID STAGE,SATURDAY,14:30 - 15:30,Grammy-nominated Malian duo who’ve successfully brought together their West African musical roots and more contemporary R&B.
AMATEURISM,https://www.amateurism.co.uk,SAN REMO,SATURDAY,12:00 - 14:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,THURSDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,FRIDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,SATURDAY,12:00 - 16:00,
AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,SUNDAY,12:00 - 16:00,
AMIE BLU,https://www.instagram.com/amiebluu/,GREENPEACE,THURSDAY,13:45 - 14:30,
AMONGST THE PIGEONS,,RIMSKI'S YARD,FRIDAY,18:00 - TBA,
"AN AUDIENCE WITH...KERRY GODLIMAN, HOSTED BY GUY LLOYD",,CABARET,FRIDAY,13:35 - 14:30,
"AN AUDIENCE WITH...STEPHEN K. AMOS, HOSTED BY PROFESSOR SHAWN NAPHTALI SOBERS",https://www.stephenkamos.com/,CABARET,FRIDAY,17:25 - 18:05,
ANAIS,http://anaïs jan (@anaisjan) • instagram photos and videos,NOWHERE,SATURDAY,15:00 - 16:00,
ANALOG SOUL,https://ra.co/dj/analogsoul,GENOSYS SOUND SYSTEM,SATURDAY,01:00 - 02:30,
ANDREW JENKINS - OFF TO SPACE,http://www.andrewoneill.co.uk,LABORATORY STAGE,THURSDAY,15:00 - 15:45,
ANDREW JENKINS - OFF TO SPACE,,LABORATORY STAGE,FRIDAY,16:00 - 16:45,
ANDREW JENKINS - OFF TO SPACE,,LABORATORY STAGE,SATURDAY,16:00 - 16:45,
ANDREW MAXWELL MORRIS,,SMALL WORLD STAGE,FRIDAY,13:00 - 14:00,
ANDREW MAXWELL MORRIS,https://www.allmusic.com/artist/andrew-maxwell-morris-mn0003552926,MANDALA STAGE,THURSDAY,12:00 - 13:00,
ANDREW MAXWELL MORRIS,https://linktr.ee/andrewmmorris,BREAD AND ROSES,SATURDAY,14:00 - 14:40,
ANDREW O'NEIL,https://www.andrewoneill.co.uk/,CABARET,SATURDAY,00:15 - 00:45,
ANDREW O'NEIL,https://www.andrewoneill.co.uk/,CABARET,SUNDAY,22:30 - 23:00,
ANDREW O'NEILL,http://www.andrewoneill.co.uk,LABORATORY STAGE,FRIDAY,17:00 - 17:45,
ANDY C,http://andy c (@andyc_ramagram) | instagram,NOWHERE,SATURDAY,01:00 - 02:30,
ANDY CARROLL,,GREENPEACE,SUNDAY,21:45 - 23:30,
ANDY CATO (GROOVE ARMADA),,FLYING BUS,SUNDAY,01:30 - 02:30,
ANDY CATO B2B SPOOKY CASH CASH,https://en.wikipedia.org/wiki/andy_cato,THE BUG,FRIDAY,20:00 - 21:30,
ANDY HATMAN / SAFE NATH,https://www.instagram.com/safenath/,THE TAPHOUSE,SUNDAY,23:00 - 01:00,
ANDY HATMAN,https://www.instagram.com/andyhatmanlaurie/,THE TAPHOUSE,THURSDAY,21:00 - 22:30,
ANDY HATMAN,https://www.instagram.com/andyhatmanlaurie/,THE TAPHOUSE,FRIDAY,00:00 - 01:30,
ANGELINE MORRISON,https://www.angelinemorrisonmusic.com/,ACOUSTIC STAGE,SUNDAY,11:30 - 12:00,"Folk singer, songwriter and multi-instrumentalist whose 2022 album ‘The Sorrow Songs: Folk Songs of Black British Experience’ was voted No 1 Folk Album of the year."
ANGIE MACK,https://www.hulahooper.com/,THE GLEBE,THURSDAY,12:35 - 13:05,
ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,THURSDAY,14:55 - 15:25,
ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,FRIDAY,12:35 - 13:05,
ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,SATURDAY,14:55 - 15:25,
ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,THURSDAY,15:55 - 16:25,
ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,FRIDAY,16:05 - 16:35,
ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,SATURDAY,12:35 - 13:05,
ANI GLASS,https://aniglass.bandcamp.com,TOAD HALL,SUNDAY,17:15 - 18:00,
ANIMA BLOOM,https://www.youtube.com/@animabloommusic,MANDALA STAGE,FRIDAY,12:00 - 13:00,
ANNA CAMPEAU,,STRUMMERVILLE,SATURDAY,12:00 - 13:30,
ANNA PRANK,,BLIND TIGER,SUNDAY,22:00 - 23:00,
ANNA PRANK,https://on.soundcloud.com/t7r1rfd95xwkuy4h8,THE SALON CAROUSEL,THURSDAY,22:00 - 23:00,
ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,THURSDAY,20:15 - 00:45,
ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,FRIDAY,14:00 - 18:00,
ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,SATURDAY,10:00 - 14:00,
ANNIE MAC,https://www.instagram.com/anniemacmanus/?hl=en,SAN REMO,FRIDAY,22:00 - 00:00,
ANOLAH & ZEE BONEZ,,RIMSKI'S YARD,FRIDAY,17:00 - TBA,
ANS,https://en.wikipedia.org/wiki/glade_festival,RABBIT HOLE'S FUNKINGHAM PALACE,SATURDAY,02:30 - 04:00,
ANTONY SZMIEREK,https://www.instagram.com/antonyszmierek/?hl=en,THE WEST HOLTS BAR,THURSDAY,17:30 - 18:15,
ANTONY SZMIEREK,https://www.instagram.com/antonyszmierek/?hl=en,THE WEST HOLTS BAR,FRIDAY,21:30 - 22:15,
ANZ B2B SPECIAL REQUEST,https://www.instagram.com/anzieanz/?hl=en // https://www.instagram.com/s_p_e_c_i_a_l_r_e_q_u_e_s_t/?hl=en,SAN REMO,THURSDAY,00:00 - 03:00,
APIENTO,https://www.instagram.com/apiento/?hl=en,SAN REMO,THURSDAY,16:30 - 18:00,
APPLE SHAKERS,https://appleshakers.co.uk,CROISSANT NEUF BANDSTAND,THURSDAY,14:00 - 14:30,
ARAMINTA,https://www.instagram.com/thearaminta/,GLADE DOME,SATURDAY,12:00 - 13:00,
ARCADIA: THE SCIENCE BEHIND THE SPIDER,,LABORATORY STAGE,FRIDAY,11:15 - 11:45,
ARCTIC MONKEYS,https://arcticmonkeys.com/,PYRAMID STAGE,FRIDAY,22:15 - 23:45,"Hitting a much more mellow and melodramatic tip on latest album ‘The Car’, the Monkeys’ lounge funk and dramatic film noir sound will be the perfect soundtrack to close day one on the Pyramid."
AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,FRIDAY,00:38 - 00:45,
AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,FRIDAY,00:13 - 00:20,
AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,SATURDAY,00:37 - 00:45,
AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,SATURDAY,00:11 - 00:19,
AREA 51 ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,SUNDAY,00:39 - 00:46,
AREA 51 ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,SUNDAY,00:14 - 00:21,
AREEBA HAMID,http://greenpeace executive director,SPEAKERS FORUM,SUNDAY,16:00 - 17:00,
ARIELLE FREE,https://www.instagram.com/ariellefree,GLADE,THURSDAY,21:05 - 22:05,"Influential, aspirational and undoubtedly one of the hardest working DJs on the scene, from Radio One to club DJ, label owner and producer."
ARIES,,THE SALON CAROUSEL,FRIDAY,00:45 - 01:45,
ARLO: SUPPER CLUB TAKEOVER,https://instagram.com/arlo___dj,BABYLON UPRISING,SATURDAY,17:00 - 18:00,
AROUND ABOUT DUSK,https://www.rachellawrencemusic.co.uk/aroundaboutdusk/,THE BANDSTAND,SUNDAY,14:00 - 14:40,
ARTWORK,https://ra.co/dj/artwork,NYC DOWNLOW,SUNDAY,02:00 - 03:25,
"ASIF KAPADIA, JAMIE KELSEY FRY, VICTORIA KAPADIA & BEE ROWLATT",http://culture & revolutionary shifts,SPEAKERS FORUM,SUNDAY,14:00 - 15:00,
ASKEW,,THE RABBIT HOLE,FRIDAY,17:30 - 18:00,
ASSAD REHMAN,"http://race, class, climate & capitalism",SPEAKERS FORUM,FRIDAY,12:00 - 13:00,
ASTEROID CITY 12A,https://www.imdb.com/title/tt14230388/,PILTON PALAIS CINEMA,SUNDAY,11:00 - 18:30,
ASTRA CLUB - DJ TENNIS & CARLITA,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,SUNDAY,22:00 - 01:00,
ATCHIN TAN PRESENTS - BORN ON ROAD,https://bornonroad.com/,FLYING BUS,THURSDAY,23:05 - 00:00,
ATCHIN TAN PRESENTS - SUGAR SHANE,https://youtube.com/@sugarshane_1,FLYING BUS,THURSDAY,22:30 - 23:00,
ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,THURSDAY,23:00 - 23:05,
ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,THURSDAY,22:25 - 22:30,
ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,THURSDAY,20:40 - 20:45,
ATCHIN TAN PRESENTS - ZED BIAS B2B METRODOME HOSTED BY MC BIC AND DJ CHUNKY,https://soundcloud.com/zedbiasakamaddslinky,FLYING BUS,THURSDAY,20:45 - 22:15,
ATCHIN TAN PRESENTS: FFTP (FREEDOM FOR TRAVELLING PEOPLE) B2B GORJA BAND,https://linktr.ee/atchintan,FLYING BUS,THURSDAY,20:00 - 20:40,
ATHALAHTA,https://athalahta.com/,MANDALA STAGE,FRIDAY,17:00 - 18:00,
AUTUMN SAINTS,https://www.theautumnsaints.com/,MANDALA STAGE,SATURDAY,19:00 - 20:00,
AUTUMN SAINTS,https://www.theautumnsaints.com/,THE BANDSTAND,SUNDAY,17:05 - 17:50,
AXEL BOY,https://axelboymusic.com/,GLADE DOME,THURSDAY,20:15 - 21:15,
B:RAVE,https://brave-night.com/,SENSATION SEEKERS STAGE,FRIDAY,00:50 - 01:35,
B:RAVE,https://brave-night.com/,SENSATION SEEKERS STAGE,SUNDAY,01:05 - 01:55,
BABY SOUL,https://www.instagram.com/babysoul7,RABBIT HOLE'S FUNKINGHAM PALACE,FRIDAY,21:00 - 22:15,
BADLY DRAWN BOY,https://www.instagram.com/badlydrawnboyofficial/,ACOUSTIC STAGE,SATURDAY,16:00 - 16:40,Welcome return after a ten-year hiatus from the witty singer songwriter and sporadic hit maker.
BAGGY MONDAYS,https://twitter.com/baggymondays,STONEBRIDGE BAR,THURSDAY,14:00 - 15:30,The legendary Manchester-flavoured indie-disco is back to kickstart another Glastonbury with a Thursday afternoon session. Get there early and bring your singing voice!
BAILE LDN,http://www.instagram.com/baileldn,THE RUM SHACK,SATURDAY,05:00 - 06:00,
BALANCE,https://www.boomcircus.co.uk/,CIRCUS BIG TOP,THURSDAY,19:35 - 20:15,
BALANCE,http://https://www.boomcircus.co.uk/,CIRCUS BIG TOP,FRIDAY,20:06 - 20:46,
BALANCE,https://www.boomcircus.co.uk/,CIRCUS BIG TOP,SATURDAY,20:07 - 20:47,
BARBARA NICE (COMPERE),https://www.mrsbarbaranice.com/,CABARET,SATURDAY,12:00 - 15:30,
BARBARA NICE (COMPERE),https://www.mrsbarbaranice.com/,CABARET,SUNDAY,12:00 - 14:15,
BARBARELLA,https://www.instagram.com/soundslikebarbarella/,STRUMMERVILLE,WEDNESDAY,22:00 - 22:45,
"BARONESS ENNY JONES, LISA WINTERSTEIGER & PHOEBE PLUMMER JSO",http://police bills,SPEAKERS FORUM,SATURDAY,12:00 - 13:00,
BARONHAWK POITIER,https://ra.co/dj/baronhawkpoitier,IICON,SATURDAY,02:45 - 04:45,
BARRINGTON LEVY,http://www.barringtonlevy.com/,WEST HOLTS STAGE,SUNDAY,18:30 - 19:30,A legend of reggae music who pioneered dancehall and other styles from the 80s onwards through tracks like ‘Here I Come’ and ‘Under Me Sensi’.
BARRY CAN'T SWIM,,THE LONELY HEARTS CLUB,SUNDAY,21:30 - 22:30,Nice blend of skilfully crafted electronic production mixed with Jazz inspired strings and keys.
BARRY CAN’T SWIM,,STONEBRIDGE BAR,SATURDAY,03:00 - 04:00,
BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,THURSDAY,16:00 - 16:40,
BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,FRIDAY,16:00 - 16:40,
BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,FRIDAY,13:00 - 13:40,
BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,SATURDAY,16:00 - 16:40,
BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,SATURDAY,13:00 - 13:40,
BASH STREET THEATRE,http://www.miraculoustheatre.com,GLEBELAND,SUNDAY,14:30 - 15:10,
BASHKKA,https://ra.co/dj/bashkka,GENOSYS SOUND SYSTEM,SATURDAY,04:30 - 06:00,
BASSWEIGHT COLLECTIVE,,BLIND TIGER,SUNDAY,14:00 - 15:00,
BASTARD LOVE,https://ra.co/dj/bastardlove,STRUMMERVILLE,SATURDAY,01:30 - 03:00,
BATU B2B ANZ,,THE LEVELS,SUNDAY,21:30 - 23:30,"Electronic dance music with a hint of Turkish rock set off against electro, UK garage and jungle."
BATU,https://ra.co/dj/batu-uk,IICON,THURSDAY,23:15 - 01:15,
BAZUKA,https://www.instagram.com/bazuka.nights/,BABYLON UPRISING,THURSDAY,22:00 - 23:00,
BBC 1XTRA AT GLASTONBURY WITH DJ TARGET & FRIENDS,,BBC MUSIC INTRODUCING,SATURDAY,19:00 - 21:00,
BBC 1XTRA AT GLASTONBURY WITH DJ TARGET,,BBC MUSIC INTRODUCING,SATURDAY,21:00 - 23:00,
BBC ASIAN NETWORK CERTIFIED AT GLASTONBURY WITH DJ MANARA,,BBC MUSIC INTRODUCING,SUNDAY,21:00 - 23:00,DJ Manara (21.00-23.00)
BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,THURSDAY,14:15 - 14:45,
BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,FRIDAY,15:00 - 15:45,
BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,SATURDAY,14:15 - 14:45,
BBC NATURAL HISTORY UNIT,,LABORATORY STAGE,SUNDAY,15:00 - 15:45,
BBC R1 DANCE TAKEOVER,,BBC MUSIC INTRODUCING,THURSDAY,18:00 - 23:00,
BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,FRIDAY,02:00 - 03:00,
BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,FRIDAY,01:00 - 02:00,
BBC RADIO 1 ESSENTIAL MIX (LIVE),,NOWHERE,FRIDAY,00:00 - 01:00,
BBC RADIO 6 MUSIC: INDIE FOREVER LIVE AT GLASTONBURY,https://www.bbc.co.uk/programmes/m0012v02,BBC MUSIC INTRODUCING,FRIDAY,21:00 - 23:00,"Phoebe I-H DJ (20.30), Indie Forever – Good Future DJ (21.00), Deadletter (DJ) (22.30)"
BEANS ON TOAST,https://beansontoastmusic.com,AVALON STAGE,SATURDAY,14:10 - 15:05,"Cult folk songwriter and Glastonbury favourite; a hippy, a punk, a poet, a drunk, a die-hard romantic and an eternal optimist."
BEAT BOX COLLECTIVE,https://www.thebeatboxcollective.com/,BREAD AND ROSES,SATURDAY,01:00 - 02:00,
BEAT BOX COLLECTIVE,https://www.5thelementagency.com/,CIRCUS BIG TOP,THURSDAY,23:15 - 23:25,
BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,THURSDAY,16:30 - 17:30,
BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,FRIDAY,16:30 - 17:30,
BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,SATURDAY,16:30 - 17:30,
BEAT BOX WORKSHOP WITH LEE,https://leemakesnoises.co.uk/,HUMBLEWELL ACTIVE PLATFORM,SUNDAY,14:00 - 15:00,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,FRIDAY,13:15 - 13:45,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,SATURDAY,13:10 - 13:40,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,THE GATEWAY,SUNDAY,13:10 - 13:40,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,FRIDAY,18:25 - 18:55,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,SATURDAY,16:05 - 16:35,
BEATBOX COLLECTIVE,https://www.5thelementagency.com/,A LITTLE MORE SENSATION,SUNDAY,14:20 - 14:50,
BEATBOX COLLECTIVE,https://www.thebeatboxcollective.com/,BIMBLE INN,SATURDAY,21:30 - 23:00,
BEATBOX COLLECTIVE,https://www.facebook.com/thebeatboxcollective,GLADE DOME,SATURDAY,20:50 - 21:15,
BEATLES DUB CLUB,https://www.instagram.com/beatlesdubclub,GREENPEACE,SATURDAY,18:00 - 18:55,
BEAUTIFUL LANDING,https://www.youtube.com/@beautifullanding/,THE RABBIT HOLE,THURSDAY,17:00 - 18:00,
