title,url,stage,day,time
A GUY CALLED GERALD,http://www.guycalledgerald.com,GLADE,FRIDAY,01:30 - 02:50
A MANIFESTO FOR WOMEN WITH GILLIAN ANDERSON,http://www.gilliananderson.ws,SPEAKERS FORUM,THURSDAY,17:00 - 18:30
A TIME OF THE GYPSIES ( 15 ),https://www.youtube.com/watch?v=1cyBXPMurJY,CINERAMAGEDDON,THURSDAY,18:00 - 20:22
A TRIBE CALLED RED,http://www.atribecalledred.com,GLADE,FRIDAY,20:25 - 21:25
A TRIBE CALLED RED,http://atribecalledred.com/,THE TRUTH STAGE,SATURDAY,02:50 - 03:40
A2,http://a2-vii.com/,SONIC,FRIDAY,13:00 - 13:30
ABAO,,GULLY,SUNDAY,13:15 - 14:15
ABI BAKER,http://www.abibakermusic.co.uk,AVALON CAFÉ STAGE,THURSDAY,10:00 - 10:45
ABRA CADABRA,,WOW!,SUNDAY,22:30 - 23:15
ACCESS ALL AREAS,,CIRCUS BIG TOP,FRIDAY,10:30 - 11:15
ACCESS ALL AREAS,,CIRCUS BIG TOP,SATURDAY,10:30 - 11:15
ACCESS ALL AREAS,,CIRCUS BIG TOP,SUNDAY,10:30 - 11:15
ACE TRIO,,THE ROCKET LOUNGE,WEDNESDAY,21:00 - 22:00
ACE TRIO,,THE ROCKET LOUNGE,THURSDAY,02:00 - 03:00
ACID JOE,,DELUXE DINER,SATURDAY,22:00 - 00:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,WEDNESDAY,20:30 - 23:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,WEDNESDAY,11:00 - 11:30
ACOUSTIC OPEN MIC,,CN BANDSTAND,THURSDAY,20:30 - 23:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,THURSDAY,11:00 - 11:45
ACOUSTIC OPEN MIC,,CN BANDSTAND,FRIDAY,20:00 - 23:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,FRIDAY,11:30 - 12:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,SATURDAY,20:30 - 23:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,SATURDAY,11:15 - 12:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,SUNDAY,20:00 - 20:20
ACOUSTIC OPEN MIC,,CN BANDSTAND,SUNDAY,17:00 - 17:30
ACOUSTIC OPEN MIC,,CN BANDSTAND,SUNDAY,12:15 - 13:00
ACOUSTIC OPEN MIC,,CN BANDSTAND,SUNDAY,11:00 - 11:45
ACRO TWIST- A NEW EMERGING DUO PERFORMING ACRO ADAGIO AND EXPLOSIVE DYNAMIC TUMBLES WITH AUDIENCE PARTICIATION,http://www.ukcfagency.co.uk/,GREENPEACE/ENGINE ROOM,WEDNESDAY,16:55 - 17:10
ACTIVISM,,S.H.I.TV (SHANGRI-HELL INTERNATIONAL TV),SATURDAY,TBA
ADAM FREELAND,,THE GAS TOWER,SATURDAY,00:20 - 02:00
ADAM SCOTT GLASSPOOL,https://www.facebook.com/adamscottglasspool/,MANDALA STAGE,WEDNESDAY,20:00 - 21:00
ADAM SCOTT GLASSPOOL,https://www.facebook.com/adamscottglasspool/,MANDALA STAGE,SATURDAY,16:00 - 17:00
ADDISON GROOVE,,THE BLUES,SUNDAY,01:00 - 02:30
AFRIQUOI,http://www.afriquoi.com/,GULLY,SATURDAY,21:30 - 22:45
AFRIQUOI,http://www.afriquoi.com/,WEST HOLTS STAGE,SATURDAY,13:00 - 14:00
AFRIQUOI,,THE GAS TOWER,THURSDAY,20:30 - 21:00
AFRO CELT SOUND SYSTEM (DJ SET + LIVE MUSICIANS),http://www.afroceltsoundsystem.org.uk/,ARCADIA,SUNDAY,21:00 - 21:30
AIDAN KILLIAN,,CABARET,FRIDAY,16:35 - 17:05
AIDAN KILLIAN,,CABARET,SUNDAY,19:40 - 20:10
AINE CAHILL,http://AINECAHILL.COM,BREAD AND ROSES,FRIDAY,18:00 - 19:00
AJ TRACEY,http://www.ajtracey.co.uk/,SONIC,FRIDAY,21:00 - 21:45
AKIRA  ( 15 ),https://www.youtube.com/watch?v=7mdMtuGL7eg,CINERAMAGEDDON,SUNDAY,21:35 - 23:40
AKUA NARU,http://www.akuanaru.com/,PUSSY PARLURE,SATURDAY,20:30 - 21:30
AL MUBTADI,,MANDALA STAGE,FRIDAY,01:00 - 02:00
AL MUBTADI,,MANDALA STAGE,SATURDAY,01:00 - 02:00
ALABAMA 3 ACOUSTIC,,CROISSANT NEUF,FRIDAY,19:00 - 20:00
ALAN MOORE & MITCH JENKINS: SHOW PIECES ( 15 ) + Q&A,https://www.youtube.com/watch?v=vthPwe-YRKs,CINERAMAGEDDON,SUNDAY,18:00 - 18:45
ALAN SANDS - THE SAND MAN,http://www.alansands.com/hypno,THE ASTROLABE THEATRE,FRIDAY,00:40 - 01:40
ALAN SANDS - THE SAND MAN,http://www.alansands.com/hypno,THE ASTROLABE THEATRE,SATURDAY,00:40 - 01:40
ALAN SANDS - THE SAND MAN,http://www.alansands.com/hypno,THE ASTROLABE THEATRE,SUNDAY,00:40 - 01:40
ALAN SANDS,,THE SUMMER HOUSE,FRIDAY,19:15 - 19:45
ALAN SANDS,,THE SUMMER HOUSE,SATURDAY,19:15 - 19:45
ALAN SANDS,,THE SUMMER HOUSE,SUNDAY,17:50 - 18:20
ALASDAIR BECKETT-KING,,CABARET,FRIDAY,12:05 - 12:35
ALASDAIR BECKETT-KING,,CABARET,SATURDAY,22:05 - 22:35
ALEK LEE,https://www.facebook.com/ok.aleklee,THE BEAT HOTEL,WEDNESDAY,15:00 - 16:30
ALEX & KATY,,KIDZFIELD BIG TOP,THURSDAY,13:00 - 13:20
ALEX & KATY,,KIDZFIELD BIG TOP,FRIDAY,12:15 - 12:40
ALEX & KATY,,KIDZFIELD BIG TOP,SATURDAY,18:15 - 19:00
ALEX & KATY,,KIDZFIELD BIG TOP,SUNDAY,14:30 - 14:50
ALEX WILSON'S SALSA SOUL ORCHESTRA,https://www.alexwilson.net,GLASTO LATINO,SATURDAY,00:00 - 01:30
ALGY STRUTT,,THE RABBIT HOLE'S FUNKINGHAM PALACE,SUNDAY,23:00 - 00:00
ALIEN COVENANT,http://www.imdb.com/title/tt2316204/?ref_=nv_sr_1,PILTON PALAIS CINEMA,THURSDAY,21:30 - 23:33
ALIJI,,GLADE LOUNGE,THURSDAY,20:30 - 22:00
ALISON CHANGE,,MANDALA STAGE,THURSDAY,11:30 - 13:00
ALISON CHANGE,,MANDALA STAGE,FRIDAY,11:30 - 13:00
ALISON CHANGE,,MANDALA STAGE,SATURDAY,11:30 - 13:00
ALISON CHANGE,,MANDALA STAGE,SUNDAY,11:30 - 13:00
ALISON MOYET,http://alisonmoyet.com/,LEFT FIELD,SATURDAY,21:00 - 22:00
ALISTAIR BARRIE,,CABARET,FRIDAY,18:45 - 19:15
ALISTAIR BARRIE,,CABARET,SUNDAY,15:20 - 15:50
ALKALEIN,,TOLPUDDLE,THURSDAY,19:00 - 21:00
ALKALEIN,,TOLPUDDLE,SATURDAY,19:00 - 21:00
ALKALEIN,,TOLPUDDLE,SUNDAY,17:00 - 19:00
ALL STAR GUITAR FORUM,http://HTTP://WWW.RODNEYBRANIGAN.COM/,TOAD HALL,SATURDAY,13:00 - 14:30
ALL WE ARE,http://www.thisisallweare.co.uk/,THE PARK STAGE,SUNDAY,14:00 - 14:45
ALPHAGO ( 15 ),,CINERAMAGEDDON,SATURDAY,15:10 - 16:30
ALSARAH & THE NUBATONES,http://www.alsarah.com/,GULLY,SATURDAY,19:45 - 21:00
ALT-J,http://www.altjband.com/,OTHER STAGE,SATURDAY,22:30 - 23:45
ALTAN,https://altan.ie/,ACOUSTIC STAGE,SUNDAY,15:25 - 16:05
ALTERN 8,http://www.altern8official.com,SPACEPORT,FRIDAY,17:00 - 18:00
AMATEURISM,http://amateurism.co.uk/,THE BEAT HOTEL,SATURDAY,12:30 - 14:00
AMBER ARCADES,http://www.amberarcades.net/,THE PARK STAGE,SATURDAY,12:15 - 13:00
AMELIA - BREAKING BROKEN DREAMS,http://www.lascossasnostra.com,CIRCUS CENTRAL,FRIDAY,11:50 - 12:20
AMELIA - BREAKING BROKEN DREAMS,http://www.lascossasnostra.com,CIRCUS CENTRAL,SATURDAY,11:50 - 12:20
AMELIA - BREAKING BROKEN DREAMS,http://www.lascossasnostra.com,CIRCUS CENTRAL,SUNDAY,11:50 - 12:20
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,FRIDAY,16:30 - 17:00
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,SATURDAY,16:30 - 17:00
AMELIA - BREAKING BROKEN DREAMS,,A LITTLE MORE SENSATION,SUNDAY,16:30 - 17:00
AMELIA CAESAR,,CN BANDSTAND,THURSDAY,20:00 - 20:20
AMERICAN GRAFITTI ( 12 ),https://www.youtube.com/watch?v=Gx7QdFbxr1c,CINERAMAGEDDON,FRIDAY,21:45 - 23:35
AMII LITTLE,,THE GAS TOWER,THURSDAY,03:00 - 04:00
AMP FIDDLER (LIVE),http://www.ampfiddler.com/,GREENPEACE/ENGINE ROOM,THURSDAY,22:30 - 23:30
AMY LIPTROT,http://amyliptrot.tumblr.com/,FREE UNIVERSITY OF GLASTONBURY,FRIDAY,13:00 - 14:00
ANDERSON .PAAK & THE FREE NATIONALS,http://www.andersonpaak.com/,WEST HOLTS STAGE,FRIDAY,20:45 - 21:45
ANDRES  & 'NO AVERAGE G',,THE BLUES,THURSDAY,20:00 - 22:00
ANDREW MAXWELL MORRIS BAND,http://HTTP://ANDREWMAXWELLMORRIS.COM,TOAD HALL,WEDNESDAY,22:15 - 23:00
ANDREW MAXWELL MORRIS,http://andrewmaxwellmorris.com/,MANDALA STAGE,FRIDAY,16:00 - 17:00
ANDREW MAXWELL MORRIS,http://www.andrewmaxwellmorris.com,AVALON CAFÉ STAGE,THURSDAY,11:00 - 11:45
ANDREW O'NEILL,,CABARET,FRIDAY,00:10 - 00:40
ANDREW O'NEILL,,CABARET,SATURDAY,12:20 - 21:50
ANDY AND THE ODD SOCKS,http://andyday.tv/,WILLIAM'S GREEN,SUNDAY,11:00 - 11:40
ANDY AND THE ODD SOCKS,,KIDZFIELD BIG TOP,SATURDAY,13:45 - 14:10
ANDY BARKER (808 STATE),https://www.mixcloud.com/andy-barker/,BEZ'S FLYING BUS,SATURDAY,01:30 - 02:30
ANDY CARROLL,,GREENPEACE/ENGINE ROOM,THURSDAY,01:30 - 03:00
ANDY CRAVEN-GRIFFITHS,,POETRY&WORDS,FRIDAY,14:35 - 14:55
ANDY CRAVEN-GRIFFITHS,,POETRY&WORDS,SUNDAY,12:05 - 12:25
ANDY DINOSAUR RAPS,,KIDZFIELD BIG TOP,THURSDAY,14:45 - 15:10
ANDY DINOSAUR RAPS,,KIDZFIELD BIG TOP,FRIDAY,12:50 - 13:10
ANDY DINOSAUR RAPS,,KIDZFIELD BIG TOP,SUNDAY,15:45 - 16:10
ANDY FAIRWEATHER LOW & THE LOW RIDERS FEATURING THE HI RIDERS SOUL REVUE,http://andyfairweatherlow.com/,ACOUSTIC STAGE,SATURDAY,17:25 - 18:10
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,WEDNESDAY,14:40 - 15:25
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,THURSDAY,13:30 - 14:15
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,FRIDAY,14:05 - 14:50
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,SATURDAY,18:50 - 19:35
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,SATURDAY,14:05 - 14:50
ANDY MARSHALL 1940'S CROONER,http://HTTP://www.andythecrooner.co.uk,CROONER'S CORNER,SUNDAY,13:15 - 14:00
ANDY P WITH ANNIE TRAILER TRASH,,DELUXE DINER,SUNDAY,02:00 - 05:00
ANDY P,,DELUXE DINER,WEDNESDAY,01:30 - 03:00
ANDY P,,DELUXE DINER,FRIDAY,03:00 - 04:30
ANDY QUICK BAND,http://www.andyquickmusic.com,THE RABBIT HOLE,FRIDAY,21:30 - 22:30
ANDY SNATCH,,CIRCUS CENTRAL,FRIDAY,10:50 - 11:20
ANDY SNATCH,,CIRCUS CENTRAL,SATURDAY,10:50 - 11:20
ANDY SNATCH,,CIRCUS CENTRAL,SUNDAY,10:50 - 11:20
ANDY SNATCH,,THE GATEWAY,FRIDAY,15:15 - 15:45
ANDY SNATCH,,THE GATEWAY,SATURDAY,15:15 - 15:45
ANDY SNATCH,,THE GATEWAY,SUNDAY,15:15 - 15:45
ANGEL OLSEN,https://angelolsen.com/,THE PARK STAGE,FRIDAY,18:00 - 19:00
ANGELIQUE ROSS,,CIRCUS BIG TOP,FRIDAY,23:23 - 23:29
ANGELIQUE ROSS,,CIRCUS BIG TOP,FRIDAY,21:29 - 21:35
ANGELIQUE ROSS,,CIRCUS BIG TOP,SATURDAY,23:44 - 23:50
ANGELIQUE ROSS,,CIRCUS BIG TOP,SATURDAY,21:43 - 21:49
ANGELIQUE ROSS,,CIRCUS BIG TOP,SUNDAY,21:39 - 21:45
ANGIE BELCHER,,CABARET,SATURDAY,23:35 - 00:05
ANI DIFRANCO,https://www.righteousbabe.com/blogs/ani-difranco-news,ACOUSTIC STAGE,SUNDAY,21:30 - 23:00
ANIMAL KRAKERS,,SMALL WORLD STAGE,FRIDAY,03:30 - 05:00
ANNA BAINES,,THE ASTROLABE THEATRE,FRIDAY,15:20 - 15:50
ANNA BAINES,,THE ASTROLABE THEATRE,SATURDAY,15:30 - 16:00
ANNA BAINES,,THE ASTROLABE THEATRE,SUNDAY,15:45 - 16:10
ANNA FREEMAN,,POETRY&WORDS,FRIDAY,16:45 - 17:15
ANNA STRAKER,,SONIC,SATURDAY,14:30 - 16:00
ANNIE MAC,http://www.anniemacpresents.com/amp2016/,JOHN PEEL STAGE,FRIDAY,22:30 - 23:45
ANNIE TRAILER TRASH,,DELUXE DINER,WEDNESDAY,21:00 - 22:30
ANNIE TRAILER TRASH,,DELUXE DINER,THURSDAY,20:00 - 21:00
